r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime
Argentina,LM,0.0059673001810268194,0.9919724221874593,0.9882262192082736,810,TRUE,Relative error in the sum of squares is at most `ftol'.,0.0022191276933249864,0.7395510829815248,0.003009661090355718,0.04327788440110949,0.4504897297867043,2.1648350595817274e-5,0.0038035506876499263,0.8254968732598043,1.067811937389555,1.8717942792879185e-10,-0.99,42,99.99999999999991,0.023255813953488372,-175.90996271789007,-167.96150320638603,-168.4432960512234,-171.90996271789007,-161.6905147745277,-158.06380887173623,2487.586760044098
Australia and New Zealand,LM,5.879534052136179e-4,0.9991995468198811,0.9988260020024923,886,TRUE,Relative error in the sum of squares is at most `ftol'.,2.632222845525266e-18,0.857382026412712,0.020015641657248062,3.4755896271455537e-13,7.843125236414985e-7,0.9892317256696761,0.38093673227986347,0.16689931417317552,0.5222318788546768,0.005117795744189317,98,-0.99,0.010101010101010102,99.99999999999991,-229.21021265527918,-221.26175314377514,-221.7435459886125,-225.21021265527918,-214.99076471191682,-211.36405880912534,4460.83513212204
Brazil,PORT,0.0021551529648334788,0.9962032591324462,0.9944314467275878,3297,TRUE,relative convergence (4),26.49471438647288,0.8544903552237937,-0.00161275920818008,0.5500182569516097,0.27589620562870765,2.4406904797243148e-23,0.9971802149085829,0,1.41006581783607,1.78517016247437e-40,0.1100000000000001,12,0.9009009009009008,0.07692307692307693,-199.33391922780797,-191.38545971630393,-191.8672525611413,-195.33391922780797,-185.1144712844456,-181.48776538165413,3488.8264858722687
Canada,LM,0.0017542763689597097,0.9947252367194953,0.9922636805219265,75,TRUE,Relative error in the sum of squares is at most `ftol'.,5.925392757436966e-12,0.7190588149709345,0.01277552173956922,1.4861488244666064e-20,0.8087311547631352,0.6309741240772714,0.3247356066050408,0.14337783237545443,0.5725664871239915,4.282453985874261e-7,100,-0.2899999999999999,0.009900990099009901,1.408450704225352,-204.06744011324653,-196.1189806017425,-196.60077344657986,-200.06744011324653,-189.84799216988418,-186.2212862670927,1554.8858609199524
Caribbean Extended,LM,0.0031709382218653493,0.9968616331930427,0.9953970620164626,433,TRUE,Relative error in the sum of squares is at most `ftol'.,3.176780645669382e-10,0.9184530717448337,0.010809093938120315,0.025271736891698187,0.03814979489663552,0.47310442176260953,0.7280038310260105,1.429131203194667e-4,1.5993871341195554,8.247160757804184e-6,2,-0.99,0.3333333333333333,99.99999999999991,-190.45210558070076,-182.50364606919672,-182.9854389140341,-186.45210558070076,-176.2326576373384,-172.60595173454692,3556.3397040367126
Central America,LM,6.912401822700143e-4,0.9995279924394688,0.9993077222445542,575,TRUE,Relative error in the sum of squares is at most `ftol'.,2.6459194080743072e-11,0.877259658788289,0.012043903915209538,1.691411897774585e-4,0.19192061664829838,0.0012880929320057367,0.9813799632194777,1.55965524544525e-116,0.8894634264859617,1.0695778269992729e-9,4,28,0.2,0.034482758620689655,-225.48790075250824,-217.5394412410042,-218.02123408584157,-221.48790075250824,-211.26845280914588,-207.6417469063544,3013.4236710071564
Central Asia Extended,NM,0.02068070657885641,0.9943410852734647,0.9917002584010814,251,TRUE,,0.01693489087820721,0.9588020830380364,0.002023508515314863,0.8325862189447129,0.5821555455938343,0.09722997478342958,0.4869005685479936,0.24095443839519481,1.0482606691583563,0.03151424927189004,-0.08999999999999997,14,1.0989010989010988,0.06666666666666667,-147.32311040776855,-139.3746508962645,-139.85644374110188,-143.32311040776855,-133.1036624644062,-129.4769565616147,169.23880195617676
Chile,LM,0.0038897939556379003,0.9969487189330265,0.9955247877684389,283,TRUE,Relative error in the sum of squares is at most `ftol'.,8.615067699100343e-14,0.7767381944042545,0.0148786594277112,1.524720384865189e-17,0.3343727249788144,6.746731826544573e-4,1.0509409741082893,1.0643226214822164e-6,0.5931328049114243,3.325734355347472e-11,0.6100000000000001,38,0.6211180124223602,0.02564102564102564,-185.75254604688052,-177.80408653537648,-178.28587938021386,-181.75254604688052,-171.53309810351817,-167.90639220072669,1211.224552154541
China,NM,0.052424229130261665,0.9924512748173349,0.9889285363987578,805,TRUE,,0.026929697979155835,0.9735267897204669,0.0018402877331968684,0.9016592198384061,-0.0014700283412417523,0.9895238665370057,-3.474659817820731,0.556748878709543,0.6290791228921311,0.5053475281291866,0.010000000000000009,0.51,0.9900990099009901,0.6622516556291391,-125.92925431682332,-117.98079480531928,-118.46258765015665,-121.92925431682332,-111.70980637346096,-108.08310047066948,307.76917004585266
EU27,L-BFGS-B,0.007035732497630908,0.9978009884049392,0.9967747829939109,32,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9422963574495741,0.9812179668772592,3.030046670209053e-5,0.9988491185262282,0.26072952751319245,0.11485250182626207,0.5438485416457801,0.3113197434792657,1.5158068884353335,0.0664242603460407,-0.99,6,99.99999999999991,0.14285714285714285,-172.12169682069003,-164.173237309186,-164.65503015402336,-168.12169682069003,-157.90224887732768,-154.2755429745362,37.91973614692688
