r,method,parameter,Estimate,Std. Error,t value,Pr(>|t|)
Middle Africa,PORT,delta,0.004791018547040199,0.08947482936704257,0.05354599255380013,0.9572968864275034
Middle Africa,PORT,rho_1,-0.99,0.7557957220403813,-1.3098777502039176,0.19023719521615798
Middle Africa,PORT,rho,60,230.47917841186333,0.26032720358270617,0.7946113903762455
Middle Africa,PORT,nu,0.8449277921727684,0.6079765064465316,1.3897375691556848,0.1646085820611366
Middle Africa,Newton,gamma,0.9755069472274902,68.09595061256292,0.014325476602532668,0.9885703143260107
Middle Africa,Newton,lambda,6.159646534215035e-5,0.03451226605811453,0.001784770239034124,0.9985759601377182
Middle Africa,Newton,delta_1,0.49197420840586387,0.7873349894889137,0.6248600849369356,0.532062891437534
Middle Africa,Newton,delta,0.562967496212358,0.47752014084627453,1.178939793439186,0.23842215067415448
Middle Africa,Newton,rho_1,-0.99,1.0035717355674747,-0.9864765665607347,0.3238993088780102
Middle Africa,Newton,rho,6,29.274239037506312,0.2049583592015071,0.8376046588669424
Middle Africa,Newton,nu,1.0304433345365716,1.280494631070398,0.8047228856205338,0.42097961007482293
Middle Africa,L-BFGS-B,gamma,0.9915733164512052,26.46420774690741,0.037468467823945334,0.9701114815157532
Middle Africa,L-BFGS-B,lambda,4.9982774351487097e-5,0.013200229331032903,0.0037865080293704263,0.9969788109234661
Middle Africa,L-BFGS-B,delta_1,0.5065048428704946,1.493368512174962,0.3391693602356823,0.7344821496738432
Middle Africa,L-BFGS-B,delta,0.31788929152088924,0.18439865786169002,1.7239241066457498,0.0847215447981451
Middle Africa,L-BFGS-B,rho_1,12,87.11041917975794,0.13775619625061417,0.8904331045368711
Middle Africa,L-BFGS-B,rho,-0.79,0.9894521112046909,-0.7984216629121633,0.4246258362049571
Middle Africa,L-BFGS-B,nu,1.06978408558942,0.5125482825745848,2.087186947960844,0.03687123884298743
Non-EU Europe,LM,gamma,8.413533259216192e-13,3.0462841117759154e-12,0.27619003843706785,0.7824021079617849
Non-EU Europe,LM,lambda,0.01375418147535225,0.0017895962881574884,7.685633662949267,1.5224156478793412e-14
Non-EU Europe,LM,delta_1,1.0537897545570656,0.610828872076454,1.7251800016833008,0.08449503852103789
Non-EU Europe,LM,delta,0.009449136779135923,0.039672827382921536,0.23817654053070117,0.8117441715589904
Non-EU Europe,LM,rho_1,-0.99,7.408491679084436,-0.13363043962038265,0.8936948127222122
Non-EU Europe,LM,rho,6,5.139115299185899,1.1675161288851559,0.2430019986833916
Non-EU Europe,LM,nu,0.6803450807598914,0.07550898494433776,9.010120865237626,2.058295210843735e-19
Non-EU Europe,NM,gamma,0.013244012576684557,0.08223005179032797,0.16106049173426812,0.8720457569598148
Non-EU Europe,NM,lambda,0.0021378931641220216,0.0030706249377775714,0.6962404095074426,0.4862782849462449
Non-EU Europe,NM,delta_1,0.8395310045277975,151995.94773039754,5.523377544360022e-6,0.9999955929823339
