r,method,grid_points,n_converged,share_converged
Argentina,L-BFGS-B,5476,5476,1
Argentina,LM,5476,4954,0.9046749452154857
Argentina,NM,5476,5476,1
Argentina,Nelder-Mead,5476,5476,1
Argentina,Newton,5476,5476,1
Argentina,PORT,5476,2141,0.39097881665449236
Australia and New Zealand,L-BFGS-B,5476,5476,1
Australia and New Zealand,LM,5476,1521,0.27775748721694665
Australia and New Zealand,NM,5476,5476,1
Australia and New Zealand,Nelder-Mead,5476,5476,1
Australia and New Zealand,Newton,5476,5476,1
Australia and New Zealand,PORT,5476,43,0.007852447041636231
Brazil,L-BFGS-B,5476,5476,1
Brazil,LM,5476,4435,0.8098977355734113
Brazil,NM,5476,5475,0.99981738495252
Brazil,Nelder-Mead,5476,5475,0.99981738495252
Brazil,Newton,5476,5476,1
Brazil,PORT,5476,509,0.09295105916727538
Canada,L-BFGS-B,5476,5476,1
Canada,LM,5476,5332,0.9737034331628927
Canada,NM,5476,5476,1
Canada,Nelder-Mead,5476,5476,1
Canada,Newton,5476,5476,1
Canada,PORT,5476,725,0.13239590942293644
Caribbean Extended,L-BFGS-B,5476,5476,1
Caribbean Extended,LM,5476,3636,0.6639883126369612
Caribbean Extended,NM,5476,5476,1
Caribbean Extended,Nelder-Mead,5476,5476,1
Caribbean Extended,Newton,5476,5476,1
Caribbean Extended,PORT,5476,61,0.011139517896274653
Central America,L-BFGS-B,5476,5476,1
Central America,LM,5476,4137,0.7554784514243974
Central America,NM,5476,5476,1
Central America,Nelder-Mead,5476,5476,1
Central America,Newton,5476,5476,1
Central America,PORT,5476,71,0.012965668371073777
Central Asia Extended,L-BFGS-B,5476,5476,1
Central Asia Extended,LM,5476,2737,0.4998173849525201
Central Asia Extended,NM,5476,5476,1
Central Asia Extended,Nelder-Mead,5476,5476,1
Central Asia Extended,Newton,5476,5476,1
Central Asia Extended,PORT,5476,6,0.001095690284879474
Chile,L-BFGS-B,5476,5476,1
Chile,LM,5476,5106,0.9324324324324325
Chile,NM,5476,5476,1
Chile,Nelder-Mead,5476,5476,1
Chile,Newton,5476,5476,1
Chile,PORT,5476,1104,0.20160701241782322
China,L-BFGS-B,5476,5476,1
China,LM,5476,4267,0.779218407596786
China,NM,5476,5476,1
China,Nelder-Mead,5476,5476,1
China,Newton,5476,5476,1
China,PORT,5476,0,0
EU27,L-BFGS-B,5476,5476,1
EU27,LM,5476,2,3.652300949598247e-4
EU27,NM,5476,5476,1
EU27,Nelder-Mead,5476,5476,1
EU27,Newton,5476,5476,1
EU27,PORT,5476,59,0.01077428780131483
Eastern Africa,L-BFGS-B,5476,5476,1
Eastern Africa,LM,5476,5290,0.9660336011687363
Eastern Africa,NM,5476,5476,1
Eastern Africa,Nelder-Mead,5476,5476,1
Eastern Africa,Newton,5476,5476,1
Eastern Africa,PORT,5476,217,0.03962746530314098
India,L-BFGS-B,5476,5476,1
India,LM,5476,23,0.004200146092037984
India,NM,5476,5476,1
India,Nelder-Mead,5476,5476,1
India,Newton,5476,5476,1
India,PORT,5476,0,0
Japan,L-BFGS-B,5476,5476,1
Japan,LM,5476,4052,0.7399561723886048
Japan,NM,5476,5476,1
Japan,Nelder-Mead,5476,5476,1
Japan,Newton,5476,5476,1
Japan,PORT,5476,282,0.05149744338933528
Levant,L-BFGS-B,5476,5476,1
Levant,LM,5476,2667,0.48703433162892623
Levant,NM,5476,5476,1
Levant,Nelder-Mead,5476,5476,1
Levant,Newton,5476,5476,1
Levant,PORT,5476,0,0
Mexico,L-BFGS-B,5476,5476,1
Mexico,LM,5476,5229,0.9548940832724616
Mexico,NM,5476,5476,1
Mexico,Nelder-Mead,5476,5476,1
Mexico,Newton,5476,5476,1
Mexico,PORT,5476,671,0.12253469685902119
Middle Africa,L-BFGS-B,5476,5476,1
Middle Africa,LM,5476,4394,0.8024105186267348
Middle Africa,NM,5476,5476,1
Middle Africa,Nelder-Mead,5476,5476,1
Middle Africa,Newton,5476,5476,1
Middle Africa,PORT,5476,158,0.02885317750182615
Non-EU Europe,L-BFGS-B,5476,5476,1
Non-EU Europe,LM,5476,4537,0.8285244704163623
Non-EU Europe,NM,5476,5476,1
Non-EU Europe,Nelder-Mead,5476,5476,1
Non-EU Europe,Newton,5476,5476,1
Non-EU Europe,PORT,5476,656,0.1197954711468225
Northern Africa,L-BFGS-B,5476,5476,1
Northern Africa,LM,5476,4748,0.8670562454346238
Northern Africa,NM,5476,5476,1
Northern Africa,Nelder-Mead,5476,5476,1
Northern Africa,Newton,5476,5476,1
Northern Africa,PORT,5476,67,0.012235208181154127
Peninsular West Asia,L-BFGS-B,5476,5476,1
Peninsular West Asia,LM,5476,3853,0.7036157779401022
Peninsular West Asia,NM,5476,5476,1
Peninsular West Asia,Nelder-Mead,5476,5476,1
Peninsular West Asia,Newton,5476,5476,1
Peninsular West Asia,PORT,5476,275,0.05021913805697589
Republic of Korea,L-BFGS-B,5476,5476,1
Republic of Korea,LM,5476,3736,0.6822498173849525
Republic of Korea,NM,5476,5476,1
Republic of Korea,Nelder-Mead,5476,5476,1
Republic of Korea,Newton,5476,5476,1
Republic of Korea,PORT,5476,122,0.022279035792549307
Russia,L-BFGS-B,5476,5476,1
Russia,LM,5476,5403,0.9866691015339664
Russia,NM,5476,5476,1
Russia,Nelder-Mead,5476,5476,1
Russia,Newton,5476,5476,1
Russia,PORT,5476,543,0.0991599707815924
South Africa,L-BFGS-B,5476,5476,1
South Africa,LM,5476,4998,0.912710007304602
South Africa,NM,5476,5476,1
South Africa,Nelder-Mead,5476,5476,1
South Africa,Newton,5476,5476,1
South Africa,PORT,5476,521,0.09514243973703433
South America Cluster,L-BFGS-B,5476,5476,1
South America Cluster,LM,5476,4792,0.87509130752374
South America Cluster,NM,5476,5476,1
South America Cluster,Nelder-Mead,5476,5476,1
South America Cluster,Newton,5476,5476,1
South America Cluster,PORT,5476,7,0.0012783053323593865
South-eastern Asia,L-BFGS-B,5476,5476,1
South-eastern Asia,LM,5476,3949,0.7211468224981739
South-eastern Asia,NM,5476,5476,1
South-eastern Asia,Nelder-Mead,5476,5476,1
South-eastern Asia,Newton,5476,5476,1
South-eastern Asia,PORT,5476,9,0.001643535427319211
Southern Africa Cluster,L-BFGS-B,5476,5476,1
Southern Africa Cluster,LM,5476,2919,0.5330533235938641
Southern Africa Cluster,NM,5476,5476,1
Southern Africa Cluster,Nelder-Mead,5476,5476,1
Southern Africa Cluster,Newton,5476,5476,1
Southern Africa Cluster,PORT,5476,169,0.030861943024105186
Southern Asia Cluster,L-BFGS-B,5476,5476,1
Southern Asia Cluster,LM,5476,424,0.07742878013148284
Southern Asia Cluster,NM,5476,5476,1
Southern Asia Cluster,Nelder-Mead,5476,5476,1
Southern Asia Cluster,Newton,5476,5476,1
Southern Asia Cluster,PORT,5476,0,0
Switzerland,L-BFGS-B,5476,5476,1
Switzerland,LM,5476,5157,0.9417457998539079
Switzerland,NM,5476,5476,1
Switzerland,Nelder-Mead,5476,5476,1
Switzerland,Newton,5476,5476,1
Switzerland,PORT,5476,101,0.018444119795471146
Tropical Pacific Islands,L-BFGS-B,5476,5476,1
Tropical Pacific Islands,LM,5476,4569,0.8343681519357194
Tropical Pacific Islands,NM,5476,5474,0.9996347699050402
Tropical Pacific Islands,Nelder-Mead,5476,5474,0.9996347699050402
Tropical Pacific Islands,Newton,5476,5476,1
Tropical Pacific Islands,PORT,5476,42,0.007669831994156318
United Kingdom,L-BFGS-B,5476,5476,1
United Kingdom,LM,5476,3878,0.7081811541271
United Kingdom,NM,5476,5476,1
United Kingdom,Nelder-Mead,5476,5476,1
United Kingdom,Newton,5476,5476,1
United Kingdom,PORT,5476,138,0.025200876552227903
United States,L-BFGS-B,5476,5476,1
United States,LM,5476,5097,0.9307888970051132
United States,NM,5476,5476,1
United States,Nelder-Mead,5476,5476,1
United States,Newton,5476,5476,1
United States,PORT,5476,932,0.1701972242512783
Western Africa,L-BFGS-B,5476,5476,1
Western Africa,LM,5476,523,0.09550766983199416
Western Africa,NM,5476,5476,1
Western Africa,Nelder-Mead,5476,5476,1
Western Africa,Newton,5476,5476,1
Western Africa,PORT,5476,29,0.005295836376917458
