r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid,invalid_reason,dAICc,wAICc
Argentina,Newton,0.01723903274818916,0.9768091679600523,0.9659867796747434,2,TRUE,NA,1.0936013905702724,0.9068480919828794,-3.868893928103555e-5,0.9926976342321744,0.417877847091386,0.07394176044123965,0.412329263184274,0.5099326528289859,1.019702882272407,0.03041083206619777,-0.25,16,1.3333333333333333,0.0588235294117647,-151.50968673589188,-143.56122722438784,-144.0430200692252,-147.50968673589188,-137.29023879252952,-133.66353288973804,96.13188910484314,FALSE,FALSE,TRUE,NA,12.861477720614602,8.049814321443472e-4
Argentina,L-BFGS-B,0.00985502497712012,0.9867425143665388,0.9805556877375904,34,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9626667099547312,0.8811127103467032,2.406718762465075e-5,0.994194471896872,0.3575625991511531,0.05551949195224442,0.4819780878037371,0.07304872858792216,1.3029140432318442,3.4233694523247866e-4,-0.5,3,2,0.25,-164.37116445650648,-156.42270494500244,-156.9044977898398,-160.37116445650648,-150.15171651314412,-146.52501061035264,96.54059410095216,FALSE,FALSE,TRUE,NA,0,0.4995975092839278
Argentina,L-BFGS-B,0.00985502497712012,0.9867425143665388,0.9805556877375904,34,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9626667099547312,0.8811127103467032,2.406718762465075e-5,0.994194471896872,0.3575625991511531,0.05551949195224442,0.4819780878037371,0.07304872858792216,1.3029140432318442,3.4233694523247866e-4,-0.5,3,2,0.25,-164.37116445650648,-156.42270494500244,-156.9044977898398,-160.37116445650648,-150.15171651314412,-146.52501061035264,96.54059410095216,FALSE,FALSE,TRUE,NA,0,0.4995975092839278
Australia and New Zealand,NM,0.00189442422725065,0.9974208831253144,0.9962172952504612,377,TRUE,NA,0.03238428133785057,0.9319026431085252,0.0016908375901658,0.7701718450692416,0.05512376672499318,0.10692691482255295,0.5354581159045031,0.35189797299490805,1.339691869556367,1.8067630933297227e-5,-0.25,44,1.3333333333333333,0.02222222222222222,-202.2996944293707,-194.35123491786663,-194.83302776270403,-198.2996944293707,-188.08024648600835,-184.4535405832169,79.86773800849915,FALSE,FALSE,TRUE,NA,24.74764861125621,4.227721295132972e-6
Australia and New Zealand,Nelder-Mead,0.00189442422725065,0.9974208831253144,0.9962172952504612,377,TRUE,NA,0.03238428133785057,0.9319026431085252,0.0016908375901658,0.7701718450692416,0.05512376672499318,0.10692691482255295,0.5354581159045031,0.35189797299490805,1.339691869556367,1.8067630933297227e-5,-0.25,44,1.3333333333333333,0.02222222222222222,-202.2996944293707,-194.35123491786663,-194.83302776270403,-198.2996944293707,-188.08024648600835,-184.4535405832169,80.51192712783813,FALSE,FALSE,TRUE,NA,24.74764861125621,4.227721295132972e-6
Australia and New Zealand,PORT,6.459263650257633e-4,0.9991206195719636,0.9987102420388798,1568,TRUE,relative convergence (4),2.0918028673725846e-20,0.8052746875623907,0.02240647011012704,5.882719714734726e-29,2.06358077923784e-5,0.996101540940398,0.08905254500546145,0.7239318224263491,0.37079769371818,0.00458626995089415,94,4.5,0.01052631578947368,0.18181818181818185,-227.04734304062697,-219.0988835291229,-219.58067637396027,-223.04734304062697,-212.8278950972646,-209.2011891944731,649.1429350376129,FALSE,FALSE,TRUE,NA,0,0.9999768949232843
Australia and New Zealand,L-BFGS-B,0.00180601581609572,0.9975412445637896,0.9963938253602246,53,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8885386016564956,0.9315760254815136,5.620227249832583e-5,0.9922135105210566,0.00102928021261813,0.8375206298752658,0.8787241928960745,1.2623206180925423e-14,1.5235549845556364,3.0884711340768994e-5,14,2,0.06666666666666667,0.3333333333333333,-203.39890449581537,-195.4504449843113,-195.93223782914868,-199.39890449581537,-189.179456552453,-185.5527506496615,60.73320198059082,FALSE,FALSE,TRUE,NA,23.648438544811597,7.324817062692631e-6
Australia and New Zealand,L-BFGS-B,0.00180601581609572,0.9975412445637896,0.9963938253602246,53,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8885386016564956,0.9315760254815136,5.620227249832583e-5,0.9922135105210566,0.00102928021261813,0.8375206298752658,0.8787241928960745,1.2623206180925423e-14,1.5235549845556364,3.0884711340768994e-5,14,2,0.06666666666666667,0.3333333333333333,-203.39890449581537,-195.4504449843113,-195.93223782914868,-199.39890449581537,-189.179456552453,-185.5527506496615,60.73320198059082,FALSE,FALSE,TRUE,NA,23.648438544811597,7.324817062692631e-6
Brazil,NM,0.00485924594430752,0.9914394270776826,0.987444493047268,523,TRUE,NA,0.00860483058604091,0.9095928238269562,0.00236328290522414,0.5875424610537356,0.3024893692841742,4.697765984351088e-10,0.9863179261563056,1.2994774494744136e-60,1.14801227567479,1.7216086105620292e-10,1.5,6,0.4,0.14285714285714285,-180.63442316416752,-172.68596365266347,-173.16775649750085,-176.63442316416752,-166.41497522080516,-162.78826931801368,1163.2336180210114,FALSE,FALSE,TRUE,NA,18.82751390154968,8.158050191230795e-5
Brazil,Nelder-Mead,0.00485924594430752,0.9914394270776826,0.987444493047268,523,TRUE,NA,0.00860483058604091,0.9095928238269562,0.00236328290522414,0.5875424610537356,0.3024893692841742,4.697765984351088e-10,0.9863179261563056,1.2994774494744136e-60,1.14801227567479,1.7216086105620292e-10,1.5,6,0.4,0.14285714285714285,-180.63442316416752,-172.68596365266347,-173.16775649750085,-176.63442316416752,-166.41497522080516,-162.78826931801368,1398.4472699165344,FALSE,FALSE,TRUE,NA,18.82751390154968,8.158050191230795e-5
