r,method,invalid_reason,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid
Argentina,LM,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.00637671160084869,0.9914217201241756,0.987418522848791,814,TRUE,Relative error in the sum of squares is at most `ftol'.,0.00161106628228467,0.7408292858063339,0.00316774095109814,0.03433394094770743,0.44709591612536487,1.831719069419744e-5,0.00234104901757188,0.8547294450670285,1.0662113501468533,1.6588567370590824e-10,-0.99,46,99.99999999999991,0.02127659574468085,-174.3837299303892,-166.43527041888515,-166.91706326372253,-170.3837299303892,-160.16428198702684,-156.53757608423535,9074.02242898941,TRUE,FALSE,FALSE
Argentina,NM,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.00900615188731762,0.9878844620347405,0.9822305443176192,139,TRUE,NA,0.01764880095061891,0.8773356569298543,0.002007342838594,0.5311246318860441,0.5149803481685231,0.0679421551133305,0.537917526486813,0.05115590677764065,1.0305066936223155,0.00432563026659936,-0.99,3.25,99.99999999999991,0.2352941176470588,-166.44285698512502,-158.49439747362098,-158.97619031845835,-162.44285698512502,-152.22340904176266,-148.59670313897118,1124.4487490653992,TRUE,FALSE,FALSE
Argentina,Nelder-Mead,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.00900615188731762,0.9878844620347405,0.9822305443176192,139,TRUE,NA,0.01764880095061891,0.8773356569298543,0.002007342838594,0.5311246318860441,0.5149803481685231,0.0679421551133305,0.537917526486813,0.05115590677764065,1.0305066936223155,0.00432563026659936,-0.99,3.25,99.99999999999991,0.2352941176470588,-166.44285698512502,-158.49439747362098,-158.97619031845835,-162.44285698512502,-152.22340904176266,-148.59670313897118,1175.8901109695437,TRUE,FALSE,FALSE
Argentina,PORT,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.00644384493298182,0.9913314089186386,0.9872860664140032,1623,TRUE,relative convergence (4),0.00231154003082833,0.7527590925273828,0.0029903189672959,0.05706100098100072,0.4447728978002907,6.663736666997285e-5,0.00728831232174879,0.7954177711400658,1.0782067234468735,5.158698905300555e-10,-0.99,38,99.99999999999991,0.02564102564102564,-174.14285415439107,-166.19439464288703,-166.6761874877244,-170.14285415439107,-159.92340621102872,-156.29670030823723,9173.56035399437,TRUE,FALSE,FALSE
Australia and New Zealand,LM,NA|NA|NA|NA|NA|bad_sigma_VAE|NA|rho_VAE_on_edge,5.877656366143928e-4,0.9991998010530342,0.9988263748777836,917,TRUE,Relative error in the sum of squares is at most `ftol'.,2.8828242212087716e-18,0.8588365784248997,0.01997067077610426,6.799306089942034e-13,1.955739748905042e-6,0.9873252391413874,0.38647057293651776,0.16565488713829415,0.5192463694513695,0.00547909366255016,90,-0.99,0.01098901098901099,99.99999999999991,-229.21755910058667,-221.26909958908263,-221.75089243392,-225.21755910058667,-214.99811115722432,-211.37140525443283,3202.0634100437164,FALSE,TRUE,FALSE
Australia and New Zealand,Newton,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|rho_VAE_on_edge,0.03766240584645337,0.9487254517427612,0.9247973292227166,2,TRUE,NA,0.9230695660862508,0.984152342180362,1.2182455837218918e-5,0.9996096002043052,0.5591343560128208,0.49297172717587545,0.4417667354139055,0.9833199554145166,0.9692397192199012,0.48362348003396993,-0.99,100,99.99999999999991,0.0099009900990099,-133.5355030788829,-125.58704356737886,-126.06883641221624,-129.5355030788829,-119.31605513552054,-115.68934923272906,56.38892912864685,TRUE,TRUE,FALSE
Brazil,LM,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00245925216543135,0.9956675155491552,0.9936456894720944,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,0.03855289426686569,0.8183326065086104,0.00162049909181961,0.4520765388921224,0.29037157896835386,7.807678438155418e-25,0.9999632236628878,0,1.286237194475239,4.907412678874177e-40,-0.25,22,1.3333333333333333,0.04347826086956521,-196.29802034644436,-188.34956083494032,-188.8313536797777,-192.29802034644436,-182.078572403082,-178.45186650029052,2705.95276594162,FALSE,FALSE,FALSE
Brazil,Newton,NA|NA|NA|NA|bad_sigma_KL|bad_sigma_VAE|rho_KL_on_edge|rho_VAE_on_edge,0.05830545990066249,0.8972827992306933,0.8493481055383502,2,TRUE,NA,1.0970722883671291,0.9770721040227784,-2.063994152636332e-6,0.9999043247578662,0.5915557429803655,0.32052645662362134,0.4652020517519182,0.29882919501553207,0.9475612367085796,0.21173735653097156,-0.99,-0.99,99.99999999999991,99.99999999999991,-123.48373634493262,-115.53527683342858,-116.01706967826595,-119.48373634493262,-109.26428840157028,-105.63758249877878,96.50787305831908,TRUE,TRUE,FALSE
Canada,NM,NA|NA|NA|NA|NA|NA|rho_KL_on_edge|NA,0.02376745713403801,0.928535359342714,0.8951851937026474,145,TRUE,NA,0.01759281458487928,0.9250283821674364,0.00196326634017259,0.7087126355744603,0.5093394551025767,0.7402092986643951,0.5367456187611082,0.1929274616299436,1.033738666489575,0.02530864545499986,100,0.5,0.0099009900990099,0.6666666666666666,-144.12344053595743,-136.1749810244534,-136.65677386929076,-140.12344053595743,-129.90399259259507,-126.2772866898036,113.2971031665802,TRUE,FALSE,FALSE
Canada,Nelder-Mead,NA|NA|NA|NA|NA|NA|rho_KL_on_edge|NA,0.02376745713403801,0.928535359342714,0.8951851937026474,145,TRUE,NA,0.01759281458487928,0.9250283821674364,0.00196326634017259,0.7087126355744603,0.5093394551025767,0.7402092986643951,0.5367456187611082,0.1929274616299436,1.033738666489575,0.02530864545499986,100,0.5,0.0099009900990099,0.6666666666666666,-144.12344053595743,-136.1749810244534,-136.65677386929076,-140.12344053595743,-129.90399259259507,-126.2772866898036,113.3473949432373,TRUE,FALSE,FALSE
