r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid,invalid_reason
Japan,LM,8.005479825023818e-4,0.9818686582426336,0.9734073654225291,372,TRUE,Relative error between `par' and the solution is at most `ptol'.,9.327488621460093e-14,0.5084412290177721,0.01483470336738125,1.31677261889285e-87,0.2908795391288875,0.01513414932043657,0.17181113559442868,0.00367937274286697,1.2865303619578514,1.6579573387809316e-10,12,8,0.07692307692307693,0.1111111111111111,-222.11129095952313,-214.1628314480191,-214.6446242928565,-218.11129095952313,-207.8918430161608,-204.2651371133693,10126.119500875471,FALSE,FALSE,TRUE,NA
Levant,L-BFGS-B,0.0096224658945361,0.9949140690872202,0.9925406346612564,33,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.944888392714012,0.9320974344379828,6.742613519260075e-6,0.9990732682455729,0.2161247196738436,0.04570775674198098,0.518987807391736,0.00169885294888291,1.4736503070412017,1.3731290496246692e-8,0.75,16,0.5714285714285714,0.0588235294117647,-164.92042546100635,-156.97196594950233,-157.4537587943397,-160.92042546100635,-150.70097751764402,-147.0742716148525,98.72951006889345,FALSE,FALSE,TRUE,NA
Mexico,L-BFGS-B,0.01115834512326487,0.9576226686229152,0.9378465806469424,30,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9559441123627292,0.9682516532122346,2.1596056953209565e-5,0.9986133155271212,0.2389362791924791,0.6748523551630932,0.999999,2.0538832577849384e-4,0.827182773237833,0.14501805821395902,10,4.75,0.09090909090909093,0.17391304347826086,-161.5144222141872,-153.56596270268315,-154.04775554752052,-157.5144222141872,-147.29497427082484,-143.66826836803335,72.92513585090637,FALSE,FALSE,TRUE,NA
Middle Africa,L-BFGS-B,0.04458710671993535,0.9784719360147331,0.9684255061549422,30,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9917370256513612,0.9698414201060958,5.0020535080423734e-5,0.9969491718440668,0.5062003793346866,0.7458624457251883,0.3165415772553437,0.09082292189004595,1.0678581049739844,0.03575450170275945,12,-0.75,0.07692307692307693,4,-129.65350958754647,-121.70505007604244,-122.1868429208798,-125.65350958754648,-115.43406164418413,-111.80735574139264,117.31479001045228,FALSE,FALSE,TRUE,NA
Non-EU Europe,LM,0.00417418885077155,0.9898954586720504,0.9851800060523406,307,TRUE,Relative error in the sum of squares is at most `ftol'.,5.218745706645806e-14,0.7795288885946903,0.01512469007597159,1.1190798885067998e-17,0.3989480692466349,0.48941545500635214,0.09499617501401995,0.7432394356192401,0.722003032630434,5.664514719479195e-17,2,12,0.3333333333333333,0.07692307692307693,-184.1295771826756,-176.18111767117156,-176.66291051600894,-180.1295771826756,-169.91012923931325,-166.28342333652176,9228.534733057022,FALSE,FALSE,TRUE,NA
Peninsular West Asia,L-BFGS-B,0.01057039583783541,0.9924366762125026,0.9889071251116706,54,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9743416888301089,0.9483893886209132,-5.661787227936726e-6,0.9994092721180532,1e-6,0.9999928208957513,0.7667309561246979,2.688797616988828e-9,1.1120368294398884,4.1850310875539345e-6,4.75,-0.5,0.17391304347826086,2,-162.75942167065176,-154.81096215914772,-155.2927550039851,-158.75942167065176,-148.5399737272894,-144.91326782449792,150.2548849582672,FALSE,FALSE,TRUE,NA
Republic of Korea,L-BFGS-B,0.0131582492227505,0.9894179144700036,0.9844796078893384,50,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9384170878409496,0.9289724471072748,1.440657662289732e-5,0.9979283205188664,0.03311093721647668,0.7006144115870772,0.5213806516857302,0.8590458581069422,1.4886481027848009,4.8123192942623354e-12,32,92,0.0303030303030303,0.01075268817204301,-157.7226141599349,-149.77415464843085,-150.25594749326822,-153.7226141599349,-143.50316621657254,-139.87646031378105,135.30523896217346,FALSE,FALSE,TRUE,NA
Russia,PORT,0.00254754548736204,0.9971381826103766,0.9958026678285524,1274,TRUE,relative convergence (4),4.407841967355251e-8,0.6082139025820711,0.00838330357196512,3.616642272799002e-18,0.04349898165650473,0.8998924071211135,0.7545198509473415,1.716942412960371e-16,0.541975716325903,9.529716896667196e-9,54,2.25,0.01818181818181818,0.3076923076923077,-195.4867405251913,-187.53828101368725,-188.02007385852465,-191.4867405251913,-181.26729258182897,-177.64058667903743,1413.6441860198977,FALSE,FALSE,TRUE,NA
South Africa,Nelder-Mead,0.01039509891688141,0.9815572909038724,0.9729506933256796,259,TRUE,NA,0.01294772890363211,0.8908890620602885,0.00214852321798545,0.5512067696524404,0.3552949213308763,9.487335630799827e-6,0.6618836218046671,0.9905595589035506,1.053416914828277,1.2488844843325289e-6,1,88,0.5,0.01123595505617977,-163.1440463301608,-155.19558681865675,-155.67737966349412,-159.1440463301608,-148.92459838679844,-145.29789248400695,854.3015720844269,FALSE,FALSE,TRUE,NA
South-eastern Asia,L-BFGS-B,0.0090681281748868,0.9962286110140176,0.9944686294872256,34,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9556315753163038,0.9371925578598056,1.5739601563461773e-5,0.9979995636337828,0.5994171208823514,0.1516657117796733,0.8330195739008008,6.3774542562050595e-12,1.357421469930067,0.02346616670985412,-0.5,1.5,2,0.4,-166.28512343269574,-158.3366639211917,-158.81845676602907,-162.28512343269574,-152.0656754893334,-148.4389695865419,121.69345617294312,FALSE,FALSE,TRUE,NA
