r,method,parameter,Estimate,Std. Error,t value,Pr(>|t|)
United States,PORT,lambda,0.007952643870406135,0.0013567277584786487,5.861635704515799,4.583296815469321e-9
United States,PORT,delta_1,0.31139529975577135,0.09040035111316574,3.4446248927281022,5.71852380904904e-4
United States,PORT,delta,0.9409715181092233,0.4051757941096118,2.322378413984581,0.02021256862632543
United States,PORT,rho_1,-0.99,0.7979664672941194,-1.2406536371848564,0.21473372834849483
United States,PORT,rho,92,304.1153609148728,0.30251678087958345,0.7622581430763379
United States,PORT,nu,0.9534533842642338,0.1996388476920677,4.775891041681852,1.7891325221075412e-6
United States,Newton,gamma,0.9330743635415039,9.897393480892893,0.09427475681782499,0.9248909017319598
United States,Newton,lambda,2.2935642053733584e-5,0.005243656957036744,0.004373978359311819,0.9965100813258279
United States,Newton,delta_1,0.5249305062735474,0.4614946429245792,1.1374574208423376,0.25534711473691923
United States,Newton,delta,0.5483065508505232,2.260654347005224,0.24254329352777262,0.8083592146863945
United States,Newton,rho_1,0,2.4656506115746386,0,1
United States,Newton,rho,100,671.7495563861524,0.14886500340688788,0.8816601566910874
United States,Newton,nu,0.9998393657714892,0.7710234720103554,1.2967690376072762,0.19471066706840054
United States,L-BFGS-B,gamma,0.8184049637448705,5.511397651983308,0.14849318002854736,0.8819535678381444
United States,L-BFGS-B,lambda,8.744059865130475e-5,0.003330903499859986,0.026251315492922655,0.979056886121862
United States,L-BFGS-B,delta_1,0.09457927039368966,0.038676755791289354,2.4453775519349654,0.014470057493978901
United States,L-BFGS-B,delta,0.9867641437777164,0.1399429951927433,7.051186394993528,1.773986660394532e-12
United States,L-BFGS-B,rho_1,0.5,1.2332265938193725,0.40544049447674635,0.6851537501934655
United States,L-BFGS-B,rho,34,284.2527849713172,0.11961184480015138,0.9047906362997771
United States,L-BFGS-B,nu,2.2040214476624103,0.43182123465529304,5.104013584282855,3.325243883362306e-7
Western Africa,LM,gamma,7.514751826994653e-22,NA,NA,NA
Western Africa,LM,lambda,0.02407682377795303,NA,NA,NA
