r,method,invalid_reason,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid
Southern Asia Cluster,LM,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00301951177653054,0.998767763913799,0.9981927204069052,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,4.672531725927379e-31,0.9270939621847752,0.03454386334715489,1.6483599154652344e-10,0.03209505130306354,0.8370985131144758,0.4354947720023307,0.46988159433417825,0.4158889574863259,0.06494068670911278,8,-0.6200000000000001,0.1111111111111111,2.6315789473684217,-191.57754981986028,-183.62909030835624,-184.1108831531936,-187.57754981986028,-177.35810187649793,-173.73139597370644,17724.938591957092,FALSE,FALSE,FALSE
Southern Asia Cluster,PORT,no_convergence|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.00323431433383924,0.9986801048874022,0.9980641538348566,4431,FALSE,false convergence (8),4.361954165153872e-34,0.8739777889833771,0.03799360726894707,3.8470730603142256e-34,1,0.9553472295713958,0.05414523561617723,0.9537931982191852,0.22856860640276097,0.02955251348249421,8.5,7,0.10526315789473684,0.125,-189.9969484629843,-182.0484889514803,-182.53028179631767,-185.9969484629843,-175.77750051962198,-172.1507946168305,2731.796108007431,FALSE,FALSE,FALSE
Switzerland,LM,NA|bad_delta_KL|NA|NA|NA|NA|rho_KL_on_edge|NA,0.00231405250869258,0.9934508491222038,0.9903945787125656,307,TRUE,Relative error in the sum of squares is at most `ftol'.,5.7827881456404555e-11,0.8127268197418507,0.01165853119601921,2.3394345949295395e-8,1555102943.581405,0.9960032981052812,0.05404632953954525,0.9752573460542752,0.4794551527015505,0.00605616306053713,40,5,0.02439024390243902,0.16666666666666666,-197.697731017055,-189.74927150555095,-190.23106435038832,-193.697731017055,-183.47828307369264,-179.85157717090115,5467.1757798194885,TRUE,FALSE,FALSE
Switzerland,NM,NA|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.00592878499168601,0.9832205590466472,0.9753901532684158,263,TRUE,NA,0.01290963091898607,0.91972685135209,0.0021300842038663,0.6644127245893127,0.272695837619188,0.398165255775748,1.0926899749724863,2.3408395629281688e-8,1.0415031904103644,0.02432689914059283,5,0.51,0.16666666666666666,0.6622516556291391,-176.05889447774862,-168.11043496624458,-168.59222781108195,-172.05889447774862,-161.83944653438627,-158.21274063159478,462.6107289791107,FALSE,FALSE,FALSE
Switzerland,Nelder-Mead,NA|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.00592878499168601,0.9832205590466472,0.9753901532684158,263,TRUE,NA,0.01290963091898607,0.91972685135209,0.0021300842038663,0.6644127245893127,0.272695837619188,0.398165255775748,1.0926899749724863,2.3408395629281688e-8,1.0415031904103644,0.02432689914059283,5,0.51,0.16666666666666666,0.6622516556291391,-176.05889447774862,-168.11043496624458,-168.59222781108195,-172.05889447774862,-161.83944653438627,-158.21274063159478,482.52447485923767,FALSE,FALSE,FALSE
Switzerland,PORT,NA|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.00353643571554965,0.9899913027108244,0.9853205773092087,1021,TRUE,relative convergence (4),1.840906783776581e-11,0.8738219291499623,0.01221272216301865,8.820882942983369e-5,1,0.6150121994929443,0.8184032965770108,0.2020657395672235,0.3929126568688533,0.1742957236189532,14.5,2.21,0.06451612903225806,0.3115264797507788,-187.9429931050889,-179.99453359358486,-180.47632643842223,-183.9429931050889,-173.72354516172655,-170.09683925893506,1520.7745459079742,FALSE,FALSE,FALSE
Tropical Pacific Islands,LM,no_convergence|NA|NA|NA|NA|NA|rho_KL_on_edge|NA,0.01320975104292575,0.9902531446795606,0.9857046121966888,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,1.2006490074224737e-5,0.9121482650889836,0.00560442282515798,0.21162737859007916,0.15069131636170613,0.01198486358682414,0.04146390169167897,0.594889828554754,1.6288193651022902,2.2085547213001915e-14,-0.9,26,10.000000000000002,0.03703703703703703,-157.63276712121913,-149.6843076097151,-150.16610045455246,-153.63276712121913,-143.41331917785678,-139.7866132750653,10340.879351139069,TRUE,FALSE,FALSE
United Kingdom,LM,NA|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.00415061752241728,0.979406867466377,0.9697967389506862,828,TRUE,Relative error in the sum of squares is at most `ftol'.,5.41180562329292e-10,0.8071856977305654,0.01054613995089575,1.9462614092778498e-7,8986647508599602,0.9999628264814628,1.043688028382733e-4,0.9998224039151208,0.6741660326571264,1.1490564957259872e-4,24,5,0.04,0.16666666666666666,-184.25982453658597,-176.31136502508193,-176.7931578699193,-180.25982453658597,-170.0403765932236,-166.41367069043213,14963.740412950516,FALSE,FALSE,FALSE
United States,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,9.130248276034242e-4,0.997624509142368,0.99651594674214,2007,FALSE,false convergence (8),3.851952725162205e-8,0.7680642481781742,0.00843799651374174,4.871023793573328e-7,0.3072833419008809,0.00275896132036344,0.8611645837412101,1.986979555674904e-11,0.9548437983651072,8.646840722206687e-6,-0.88,9.5,8.333333333333334,0.09523809523809525,-219.08755910543215,-211.13909959392817,-211.6208924387655,-215.08755910543215,-204.86811116206985,-201.2414052592783,4058.459219932556,FALSE,FALSE,FALSE
Western Africa,LM,no_convergence|bad_delta_KL|bad_delta_VAE|NA|NA|NA|NA|rho_VAE_on_edge,0.01103207627593732,0.9954969398963396,0.9933955118479646,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,4.2056490391604075e-22,0.8946055566891895,0.02436264413646473,6.849469199613002e-11,-0.9543649525118456,0.9170242350016716,-0.01413888472926756,0.9411827715374128,0.578009441804385,3.1630291560977487e-4,0.42,-0.8,0.7042253521126761,5.000000000000001,-161.7761761287792,-153.82771661727517,-154.30950946211254,-157.7761761287792,-147.55672818541686,-143.93002228262537,15992.091129779816,FALSE,TRUE,FALSE
