r,method,grid_points,n_converged,share_converged
Southern Africa Cluster,NM,18900,18900,1
Southern Africa Cluster,Nelder-Mead,18900,18900,1
Southern Africa Cluster,Newton,18900,18900,1
Southern Africa Cluster,PORT,18900,1275,0.06746031746031746
Southern Asia Cluster,L-BFGS-B,18900,18900,1
Southern Asia Cluster,LM,18900,479,0.025343915343915342
Southern Asia Cluster,NM,18900,18900,1
Southern Asia Cluster,Nelder-Mead,18900,18900,1
Southern Asia Cluster,Newton,18900,18900,1
Southern Asia Cluster,PORT,18900,0,0
Switzerland,L-BFGS-B,18900,18900,1
Switzerland,LM,18900,18279,0.9671428571428572
Switzerland,NM,18900,18900,1
Switzerland,Nelder-Mead,18900,18900,1
Switzerland,Newton,18900,18900,1
Switzerland,PORT,18900,100,0.005291005291005291
Tropical Pacific Islands,L-BFGS-B,18900,18900,1
Tropical Pacific Islands,LM,18900,16404,0.8679365079365079
Tropical Pacific Islands,NM,18900,18896,0.9997883597883598
Tropical Pacific Islands,Nelder-Mead,18900,18896,0.9997883597883598
Tropical Pacific Islands,Newton,18900,18900,1
Tropical Pacific Islands,PORT,18900,358,0.01894179894179894
United Kingdom,L-BFGS-B,18900,18900,1
United Kingdom,LM,18900,7031,0.372010582010582
United Kingdom,NM,18900,18900,1
United Kingdom,Nelder-Mead,18900,18900,1
United Kingdom,Newton,18900,18900,1
United Kingdom,PORT,18900,1004,0.05312169312169312
United States,L-BFGS-B,18900,18900,1
United States,LM,18900,18614,0.9848677248677249
United States,NM,18900,18900,1
United States,Nelder-Mead,18900,18900,1
United States,Newton,18900,18900,1
United States,PORT,18900,1709,0.09042328042328042
Western Africa,L-BFGS-B,18900,18900,1
Western Africa,LM,18900,7861,0.4159259259259259
Western Africa,NM,18900,18899,0.9999470899470899
Western Africa,Nelder-Mead,18900,18899,0.9999470899470899
Western Africa,Newton,18900,18900,1
Western Africa,PORT,18900,330,0.01746031746031746
