r,method,parameter,Estimate,Std. Error,t value,Pr(>|t|)
Argentina,LM,gamma,0.0022191276933249864,0.0066751144170358375,0.3324478884828488,0.7395510829815248
Argentina,LM,lambda,0.003009661090355718,0.0014891806208314337,2.0210181681489887,0.04327788440110949
Argentina,LM,delta_1,0.4504897297867043,0.10606810413697892,4.247174336263529,2.1648350595817274e-5
Argentina,LM,delta,0.0038035506876499263,0.0172511801352785,0.22048060815687043,0.8254968732598043
Argentina,LM,rho_1,-0.99,0.41597017279924103,-2.37997833675878,0.01731365585903575
Argentina,LM,rho,42,34.47506716750421,1.2182717381211865,0.2231207261799039
Argentina,LM,nu,1.067811937389555,0.1675917319946681,6.37150726160839,1.8717942792879185e-10
Argentina,NM,gamma,0.017521747473075774,0.11083362944341914,0.15809053227856867,0.874385460943368
Argentina,NM,lambda,0.0020127969236755617,0.0031293273691301426,0.6432043331519699,0.5200915220085963
Argentina,NM,delta_1,0.515918622088797,0.266507105004749,1.93585316263746,0.05288568759203975
Argentina,NM,delta,0.537269853134559,0.27844421489587795,1.9295421646144342,0.05366359084701676
Argentina,NM,rho_1,-0.99,0.6202720010093765,-1.5960739778499762,0.11047227770752112
Argentina,NM,rho,4,9.850300015427578,0.4060790020339669,0.6846845536931996
Argentina,NM,nu,1.0325216003059123,0.3528480849428631,2.926249693187676,0.0034307545909633844
Argentina,Nelder-Mead,gamma,0.017521747473075774,0.11083362944341914,0.15809053227856867,0.874385460943368
Argentina,Nelder-Mead,lambda,0.0020127969236755617,0.0031293273691301426,0.6432043331519699,0.5200915220085963
Argentina,Nelder-Mead,delta_1,0.515918622088797,0.266507105004749,1.93585316263746,0.05288568759203975
Argentina,Nelder-Mead,delta,0.537269853134559,0.27844421489587795,1.9295421646144342,0.05366359084701676
Argentina,Nelder-Mead,rho_1,-0.99,0.6202720010093765,-1.5960739778499762,0.11047227770752112
Argentina,Nelder-Mead,rho,4,9.850300015427578,0.4060790020339669,0.6846845536931996
Argentina,Nelder-Mead,nu,1.0325216003059123,0.3528480849428631,2.926249693187676,0.0034307545909633844
Argentina,PORT,gamma,0.003802866223295272,0.012306342328668958,0.3090167753936182,0.7573087660117179
Argentina,PORT,lambda,0.0027451207474750725,0.0016017545764327984,1.713821073381053,0.08656159190245694
