r,method,grid_points,n_converged,share_converged
Southern Africa Cluster,Nelder-Mead,4900,4900,1
Southern Africa Cluster,Newton,4900,4900,1
Southern Africa Cluster,PORT,4900,334,0.06816326530612245
Southern Asia Cluster,L-BFGS-B,4900,4900,1
Southern Asia Cluster,LM,4900,244,0.04979591836734694
Southern Asia Cluster,NM,4900,4900,1
Southern Asia Cluster,Nelder-Mead,4900,4900,1
Southern Asia Cluster,Newton,4900,4900,1
Southern Asia Cluster,PORT,4900,0,0
Switzerland,L-BFGS-B,4900,4900,1
Switzerland,LM,4900,4682,0.9555102040816327
Switzerland,NM,4900,4900,1
Switzerland,Nelder-Mead,4900,4900,1
Switzerland,Newton,4900,4900,1
Switzerland,PORT,4900,66,0.013469387755102041
Tropical Pacific Islands,L-BFGS-B,4900,4900,1
Tropical Pacific Islands,LM,4900,4242,0.8657142857142858
Tropical Pacific Islands,NM,4900,4900,1
Tropical Pacific Islands,Nelder-Mead,4900,4900,1
Tropical Pacific Islands,Newton,4900,4900,1
Tropical Pacific Islands,PORT,4900,120,0.024489795918367346
United Kingdom,L-BFGS-B,4900,4900,1
United Kingdom,LM,4900,3241,0.6614285714285715
United Kingdom,NM,4900,4900,1
United Kingdom,Nelder-Mead,4900,4900,1
United Kingdom,Newton,4900,4900,1
United Kingdom,PORT,4900,115,0.02346938775510204
United States,L-BFGS-B,4900,4900,1
United States,LM,4900,4344,0.8865306122448979
United States,NM,4900,4900,1
United States,Nelder-Mead,4900,4900,1
United States,Newton,4900,4900,1
United States,PORT,4900,570,0.11632653061224489
Western Africa,L-BFGS-B,4900,4900,1
Western Africa,LM,4900,820,0.1673469387755102
Western Africa,NM,4900,4900,1
Western Africa,Nelder-Mead,4900,4900,1
Western Africa,Newton,4900,4900,1
Western Africa,PORT,4900,26,0.005306122448979592
