r,method,invalid_reason,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid
China,L-BFGS-B,NA|NA|NA|NA|NA|bad_sigma_VAE|NA|rho_VAE_on_edge,0.13419393788232992,0.9806770042200088,0.971659606189346,82,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.7827297716329696,0.9870931923812374,1.0106967438702622e-4,0.9973608636055185,9.999999999992654e-7,0.9999966181351316,0.36351181609819794,0.4895581166060986,2.8958372445505867,0.321256122483064,0.91,-0.99,0.5235602094240838,99.99999999999991,-104.31115920410686,-96.3626996926028,-96.8444925374402,-100.31115920410686,-90.09171126074452,-86.465005357953,133.96858191490173,FALSE,TRUE,FALSE
Eastern Africa,LM,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.0015515644923869,0.9915889174667089,0.9876637456178397,119,TRUE,Conditions for `info = 1' and `info = 2' both hold.,1.1487573553141049e-5,0.7348676946488573,0.00561714131157332,1.1832900048612312e-4,0.253439883468726,0.02088973330848899,0.844615281949527,9.107960966878377e-8,1.4424217170274911,6.286263139696803e-10,-0.99,6,99.99999999999991,0.14285714285714285,-206.89167163139712,-198.9432121198931,-199.42500496473048,-202.89167163139712,-192.6722236880348,-189.0455177852433,1399.616189956665,TRUE,FALSE,FALSE
Eastern Africa,NM,NA|NA|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.01499230519568402,0.918726216677468,0.8807984511269532,147,TRUE,NA,0.01757589615375,0.8859808785719525,0.00198204008591737,0.5655148844111237,0.5363598908840892,0.2520616087708779,0.5158995145177914,0.9438159939099804,1.033631812048418,0.14376765628266464,0.41000000000000014,100,0.7092198581560283,0.0099009900990099,-154.72138548488488,-146.77292597338084,-147.2547188182182,-150.72138548488488,-140.50193754152252,-136.87523163873104,109.59457993507384,FALSE,TRUE,FALSE
Eastern Africa,Nelder-Mead,NA|NA|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.01499230519568402,0.918726216677468,0.8807984511269532,147,TRUE,NA,0.01757589615375,0.8859808785719525,0.00198204008591737,0.5655148844111237,0.5363598908840892,0.2520616087708779,0.5158995145177914,0.9438159939099804,1.033631812048418,0.14376765628266464,0.41000000000000014,100,0.7092198581560283,0.0099009900990099,-154.72138548488488,-146.77292597338084,-147.2547188182182,-150.72138548488488,-140.50193754152252,-136.87523163873104,111.69107389450072,FALSE,TRUE,FALSE
Eastern Africa,Newton,NA|NA|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.02863355329677069,0.844776558639838,0.7723389526717624,2,TRUE,NA,0.9902870826456538,0.9191593054747804,-1.6781576696189284e-5,0.9972521719427448,0.4919537443877298,0.41362134568090303,0.5384642578666942,0.9578019377425612,1.0597070395208947,0.2911730634304033,6,100,0.14285714285714285,0.0099009900990099,-139.83941626848633,-131.8909567569823,-132.37274960181966,-135.83941626848633,-125.61996832512398,-121.99326242233248,94.31701803207396,FALSE,TRUE,FALSE
EU27,LM,no_convergence|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.00404184483690848,0.998736725186071,0.9981471969395708,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,2.3226026755400733e-29,0.9729737096966788,0.03260596139924686,0.0254836708628692,2.3757832675550383,0.7142639559632216,0.9927790658963576,0.5696089951167006,0.14941985934510324,0.7809416318915543,0.81,-0.49,0.5524861878453039,1.96078431372549,-184.8706100804799,-176.9221505689759,-177.40394341381327,-180.8706100804799,-170.65116213711758,-167.0244562343261,4457.591501951218,FALSE,FALSE,FALSE
EU27,NM,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.00707765346896507,0.997787886044656,0.9967555661988288,405,TRUE,NA,0.01450501595398024,0.9804823000998812,0.00209309429994833,0.9175356055036008,0.25021613594792463,0.07412707941728745,0.62121524960096,0.7101042766118062,1.345479545917201,0.09069393330760024,-0.99,56,99.99999999999991,0.0175438596491228,-171.98506268079785,-164.0366031692938,-164.51839601413118,-167.98506268079785,-157.7656147374355,-154.138908834644,87.94836401939392,TRUE,FALSE,FALSE
EU27,Nelder-Mead,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.00707765346896507,0.997787886044656,0.9967555661988288,405,TRUE,NA,0.01450501595398024,0.9804823000998812,0.00209309429994833,0.9175356055036008,0.25021613594792463,0.07412707941728745,0.62121524960096,0.7101042766118062,1.345479545917201,0.09069393330760024,-0.99,56,99.99999999999991,0.0175438596491228,-171.98506268079785,-164.0366031692938,-164.51839601413118,-167.98506268079785,-157.7656147374355,-154.138908834644,79.23335599899292,TRUE,FALSE,FALSE
EU27,PORT,no_convergence|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.00496146881934879,0.9984492975726472,0.9977256364398828,1828,FALSE,false convergence (8),2.28582696717375e-18,0.976365749059225,0.02009010122273744,0.22880515374458987,0.4273053889105916,0.216693353711313,0.5786085506616973,0.8863534934562286,0.7070440234874903,0.28253547302869525,-0.99,88,99.99999999999991,0.01123595505617977,-180.15559629683833,-172.20713678533428,-172.68892963017166,-176.15559629683833,-165.93614835347597,-162.3094424506845,586.4731020927429,TRUE,FALSE,FALSE
EU27,Newton,NA|NA|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.01624425504875086,0.994922873315983,0.9925535475301084,2,TRUE,NA,0.994062141879856,0.9856304763068756,-1.987645938653385e-5,0.9994224578912412,0.42962599446471333,0.3398423149299319,0.5851816622026969,0.9308151041733612,0.982822517392407,0.3699308187667768,-0.59,100,2.4390243902439024,0.0099009900990099,-152.87673423442465,-144.9282747229206,-145.41006756775798,-148.87673423442465,-138.6572862910623,-135.0305803882708,38.78486108779907,FALSE,TRUE,FALSE
EU27,L-BFGS-B,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.0070357324976309,0.9978009884049392,0.9967747829939108,32,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.942296357449574,0.9812179668772592,3.030046670209053e-5,0.9988491185262282,0.26072952751319245,0.11485250182626208,0.5438485416457801,0.3113197434792657,1.5158068884353335,0.0664242603460407,-0.99,6,99.99999999999991,0.14285714285714285,-172.12169682069003,-164.173237309186,-164.65503015402336,-168.12169682069003,-157.90224887732768,-154.2755429745362,37.8258101940155,TRUE,FALSE,FALSE
EU27,L-BFGS-B,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.0070357324976309,0.9978009884049392,0.9967747829939108,32,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.942296357449574,0.9812179668772592,3.030046670209053e-5,0.9988491185262282,0.26072952751319245,0.11485250182626208,0.5438485416457801,0.3113197434792657,1.5158068884353335,0.0664242603460407,-0.99,6,99.99999999999991,0.14285714285714285,-172.12169682069003,-164.173237309186,-164.65503015402336,-168.12169682069003,-157.90224887732768,-154.2755429745362,37.8258101940155,TRUE,FALSE,FALSE
India,LM,NA|NA|NA|NA|NA|bad_sigma_VAE|NA|rho_VAE_on_edge,0.00764178174310228,0.998061663208236,0.9971571060387464,423,TRUE,Relative error in the sum of squares is at most `ftol'.,9.082104450443052e-15,0.9527934199820904,0.01600767963155259,0.05525540422610303,0.406571586488795,0.05422901688672771,0.6915612069427519,2.820690911426005e-14,1.2709591649961691,0.00172349800727811,-0.69,-0.99,3.2258064516129026,99.99999999999991,-170.22123024891837,-162.2727707374143,-162.75456358225168,-166.22123024891837,-156.001782305556,-152.3750764027645,4446.934188127518,FALSE,TRUE,FALSE
India,NM,NA|NA|NA|NA|NA|bad_sigma_VAE|NA|rho_VAE_on_edge,0.00975519095759705,0.9975255972782968,0.9963708760081688,469,TRUE,NA,0.00468960723140641,0.9594488662800432,0.00267091505961689,0.7835428063811922,0.18551545529341407,0.06998462792997165,0.7222647159798916,1.603694010361196e-17,2.0511204354651187,2.6614465807569457e-5,-0.18999999999999995,-0.99,1.2345679012345678,99.99999999999991,-164.6053487504533,-156.65688923894925,-157.13868208378662,-160.6053487504533,-150.38590080709093,-146.75919490429945,92.88876080513,FALSE,TRUE,FALSE
India,Nelder-Mead,NA|NA|NA|NA|NA|bad_sigma_VAE|NA|rho_VAE_on_edge,0.00975519095759705,0.9975255972782968,0.9963708760081688,469,TRUE,NA,0.00468960723140641,0.9594488662800432,0.00267091505961689,0.7835428063811922,0.18551545529341407,0.06998462792997165,0.7222647159798916,1.603694010361196e-17,2.0511204354651187,2.6614465807569457e-5,-0.18999999999999995,-0.99,1.2345679012345678,99.99999999999991,-164.6053487504533,-156.65688923894925,-157.13868208378662,-160.6053487504533,-150.38590080709093,-146.75919490429945,83.0148720741272,FALSE,TRUE,FALSE
