r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid,invalid_reason,dAICc,wAICc
Brazil,L-BFGS-B,0.00921232494640389,0.9837706134181992,0.9761968996800257,42,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1.0060844690443975,0.9369610905897854,1.0567622719417056e-5,0.9986520344700818,0.6260152491607847,1.1071488539607092e-4,0.8943349154680459,3.571617038773674e-15,0.9551495441401834,1.1458925044041362e-4,0.81,4,0.5524861878453039,0.2,-165.92226650444212,-157.97380699293808,-158.45559983777545,-161.92226650444212,-151.70281856107977,-148.07611265828828,46.80907607078552,FALSE,FALSE,TRUE,NA,33.41165272336585,5.55362257975049e-8
Canada,LM,0.0017542763689597,0.9947252367194952,0.9922636805219264,75,TRUE,Relative error in the sum of squares is at most `ftol'.,5.925392757436966e-12,0.7190588149709345,0.01277552173956922,1.4861488244666064e-20,0.8087311547631352,0.6309741240772714,0.3247356066050408,0.14337783237545443,0.5725664871239915,4.282453985874261e-7,100,-0.2899999999999999,0.0099009900990099,1.408450704225352,-204.06744011324653,-196.1189806017425,-196.60077344657984,-200.06744011324653,-189.84799216988415,-186.2212862670927,1474.399118185043,FALSE,FALSE,TRUE,NA,0,0.8887692942203271
Canada,NM,0.02376087663119976,0.9285557271451028,0.8952150664794841,145,TRUE,NA,0.0175928531776243,0.925289510842771,0.00196379559364984,0.7096129154124091,0.5093516170426724,0.74090588073811,0.5367241081720229,0.19264069005470877,1.0337339569950077,0.02607370403826302,100,0.41000000000000014,0.0099009900990099,0.7092198581560283,-144.12980943443364,-136.1813499229296,-136.66314276776697,-140.12980943443364,-129.91036149107128,-126.2836555882798,115.89199209213255,FALSE,FALSE,TRUE,NA,59.937630678812894,8.580209871940325e-14
Canada,Nelder-Mead,0.02376087663119976,0.9285557271451028,0.8952150664794841,145,TRUE,NA,0.0175928531776243,0.925289510842771,0.00196379559364984,0.7096129154124091,0.5093516170426724,0.74090588073811,0.5367241081720229,0.19264069005470877,1.0337339569950077,0.02607370403826302,100,0.41000000000000014,0.0099009900990099,0.7092198581560283,-144.12980943443364,-136.1813499229296,-136.66314276776697,-140.12980943443364,-129.91036149107128,-126.2836555882798,117.61947894096376,FALSE,FALSE,TRUE,NA,59.937630678812894,8.580209871940325e-14
Canada,PORT,0.00210175462300468,0.993680438096176,0.990731309207725,310,TRUE,relative convergence (4),4.327681916470131e-13,0.5177221264908034,0.01406869276858459,2.5263020696410975e-75,0.17327759255124678,0.8609964138470109,8.155266780890033e-6,0.9889208716508312,0.5093907745532753,2.23481712090304e-9,0.51,94,0.6622516556291391,0.01052631578947368,-199.9109701785005,-191.96251066699645,-192.44430351183385,-195.9109701785005,-185.69152223513817,-182.06481633234665,418.50343799591064,FALSE,FALSE,TRUE,NA,4.156469934746042,0.11123028845255536
Canada,Newton,0.03411721046777465,0.8974162724910975,0.8495438663202762,2,TRUE,NA,1.0718282320453074,0.9563001982727128,-7.227414810191606e-5,0.9936085445445754,0.4280813729254965,0.35155282911365743,0.4003654629837263,0.8221256876308136,0.9942869670679034,0.2429503526785768,0.01,100,0.99009900990099,0.0099009900990099,-135.80929323929146,-127.86083372778742,-128.3426265726248,-131.80929323929146,-121.58984529592912,-117.96313939313762,102.1504898071289,FALSE,FALSE,TRUE,NA,68.25814687395507,1.3388156357594397e-15
Canada,L-BFGS-B,0.00661549869625929,0.9801084993090636,0.9708257989866268,33,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.896221474915421,0.9158784306281664,4.453191633708513e-5,0.9924086036413428,1e-6,0.9999871254023364,0.6855069886791961,0.00181256180237498,1.6805147513433327,1.7459330022102687e-4,6,14,0.14285714285714285,0.06666666666666667,-173.53818916414636,-165.58972965264232,-166.0715224974797,-169.53818916414636,-159.318741220784,-155.69203531799252,111.58591890335084,FALSE,FALSE,TRUE,NA,30.529250949100174,2.0866347226611166e-7
Canada,L-BFGS-B,0.00661549869625929,0.9801084993090636,0.9708257989866268,33,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.896221474915421,0.9158784306281664,4.453191633708513e-5,0.9924086036413428,1e-6,0.9999871254023364,0.6855069886791961,0.00181256180237498,1.6805147513433327,1.7459330022102687e-4,6,14,0.14285714285714285,0.06666666666666667,-173.53818916414636,-165.58972965264232,-166.0715224974797,-169.53818916414636,-159.318741220784,-155.69203531799252,111.58591890335084,FALSE,FALSE,TRUE,NA,30.529250949100174,2.0866347226611166e-7
Caribbean Extended,NM,0.02263971338133007,0.9775928384523376,0.9671361630634284,231,TRUE,NA,0.01549618651369129,0.9606098001676326,0.00202750460865751,0.8395487711979774,0.2983901804431597,0.4034780278918822,0.49430872672792414,0.7333726787786012,1.147143895926518,0.12250644159425517,0.01,46,0.99009900990099,0.02127659574468085,-145.24150973430875,-137.2930502228047,-137.77484306764208,-141.24150973430875,-131.0220617909464,-127.39535588815492,118.80695414543152,FALSE,FALSE,TRUE,NA,23.10913537028371,4.796018495863445e-6
Caribbean Extended,Nelder-Mead,0.02263971338133007,0.9775928384523376,0.9671361630634284,231,TRUE,NA,0.01549618651369129,0.9606098001676326,0.00202750460865751,0.8395487711979774,0.2983901804431597,0.4034780278918822,0.49430872672792414,0.7333726787786012,1.147143895926518,0.12250644159425517,0.01,46,0.99009900990099,0.02127659574468085,-145.24150973430875,-137.2930502228047,-137.77484306764208,-141.24150973430875,-131.0220617909464,-127.39535588815492,118.84384202957152,FALSE,FALSE,TRUE,NA,23.10913537028371,4.796018495863445e-6
Caribbean Extended,Newton,0.04020150913995472,0.9602114348982156,0.9416434378507162,2,TRUE,NA,0.930670979543762,0.9641024792942828,-4.295394137805662e-6,0.9996882886169448,0.4496167121401212,0.45649515359290993,0.5768717566541829,0.9346718299007398,0.9600505637315624,0.282168206418086,0.2100000000000002,100,0.8264462809917354,0.0099009900990099,-132.03493406150926,-124.08647455000522,-124.5682673948426,-128.03493406150926,-117.81548611814692,-114.18878021535542,58.70340204238891,FALSE,FALSE,TRUE,NA,36.31571104308321,6.5029344980290455e-9
Caribbean Extended,L-BFGS-B,0.00828925897487633,0.991795887084258,0.987967301056912,31,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8820068493172686,0.9671248867941028,4.672891764680411e-5,0.9968929086058206,0.06483526267689556,0.4226032339155028,0.9154737722130016,0.07096360810488855,1.9073507914708223,0.02830757633727661,0.2100000000000002,10,0.8264462809917354,0.09090909090909093,-168.35064510459247,-160.40218559308843,-160.8839784379258,-164.35064510459247,-154.13119716123012,-150.50449125843863,50.426148891448975,FALSE,FALSE,TRUE,NA,0,0.49999520073003684
Caribbean Extended,L-BFGS-B,0.00828925897487633,0.991795887084258,0.987967301056912,31,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8820068493172686,0.9671248867941028,4.672891764680411e-5,0.9968929086058206,0.06483526267689556,0.4226032339155028,0.9154737722130016,0.07096360810488855,1.9073507914708223,0.02830757633727661,0.2100000000000002,10,0.8264462809917354,0.09090909090909093,-168.35064510459247,-160.40218559308843,-160.8839784379258,-164.35064510459247,-154.13119716123012,-150.50449125843863,50.426148891448975,FALSE,FALSE,TRUE,NA,0,0.49999520073003684
Central America,LM,6.912401822700143e-4,0.9995279924394688,0.9993077222445542,575,TRUE,Relative error in the sum of squares is at most `ftol'.,2.6459194080743072e-11,0.877259658788289,0.01204390391520953,1.691411897774585e-4,0.1919206166482984,0.00128809293200573,0.9813799632194776,1.55965524544525e-116,0.8894634264859617,1.0695778269992727e-9,4,28,0.2,0.03448275862068965,-225.48790075250824,-217.5394412410042,-218.02123408584157,-221.48790075250824,-211.26845280914588,-207.6417469063544,2870.3668899536133,FALSE,FALSE,TRUE,NA,0,0.9999999728619843
Central America,NM,0.01031903475399648,0.9929537336714483,0.9896654760514576,215,TRUE,NA,0.0136476710135661,0.9528371415893288,0.00212020353260423,0.7998795798103331,0.5415631741874444,0.2384553513492372,0.5127106671445874,0.00446987447172475,1.0871683046547012,0.00312353337331218,8,2,0.1111111111111111,0.3333333333333333,-163.31296322889932,-155.36450371739528,-155.84629656223265,-159.31296322889932,-149.09351528553697,-145.46680938274548,114.854022026062,FALSE,FALSE,TRUE,NA,62.17493752360892,3.154160935168462e-14
Central America,Nelder-Mead,0.01031903475399648,0.9929537336714483,0.9896654760514576,215,TRUE,NA,0.0136476710135661,0.9528371415893288,0.00212020353260423,0.7998795798103331,0.5415631741874444,0.2384553513492372,0.5127106671445874,0.00446987447172475,1.0871683046547012,0.00312353337331218,8,2,0.1111111111111111,0.3333333333333333,-163.31296322889932,-155.36450371739528,-155.84629656223265,-159.31296322889932,-149.09351528553697,-145.46680938274548,113.93702697753906,FALSE,FALSE,TRUE,NA,62.17493752360892,3.154160935168462e-14
Central America,Newton,0.02617560082890082,0.9821262105276988,0.973785108773958,3,TRUE,NA,0.929811914457688,0.9491905251977364,2.1151245696570783e-5,0.9978254602975208,0.5991193019442747,0.8081893562486648,0.46035447665653945,0.03246030039417189,1.002804755642534,8.560581902950461e-4,100,6,0.0099009900990099,0.14285714285714285,-141.90370103463064,-133.9552415231266,-134.43703436796395,-137.90370103463064,-127.68425309126827,-124.0575471884768,72.11343789100647,FALSE,FALSE,TRUE,NA,83.5841997178776,7.0781804834217e-19
