r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime
Argentina,LM,0.0059673001810268194,0.9919724221874593,0.9882262192082736,810,TRUE,Relative error in the sum of squares is at most `ftol'.,0.0022191276933249864,0.7395510829815248,0.003009661090355718,0.04327788440110949,0.4504897297867043,2.1648350595817274e-5,0.0038035506876499263,0.8254968732598043,1.067811937389555,1.8717942792879185e-10,-0.99,42,99.99999999999991,0.023255813953488372,-175.90996271789007,-167.96150320638603,-168.4432960512234,-171.90996271789007,-161.6905147745277,-158.06380887173623,2374.1726081371307
Argentina,NM,0.008719764756015424,0.9882696382011206,0.9827954693616435,137,TRUE,,0.017521747473075774,0.874385460943368,0.0020127969236755617,0.5200915220085963,0.515918622088797,0.05288568759203975,0.537269853134559,0.05366359084701676,1.0325216003059123,0.0034307545909633844,-0.99,4,99.99999999999991,0.2,-167.1861164021357,-159.23765689063165,-159.71944973546903,-163.1861164021357,-152.96666845877334,-149.33996255598186,167.49340891838074
Argentina,Nelder-Mead,0.008719764756015424,0.9882696382011206,0.9827954693616435,137,TRUE,,0.017521747473075774,0.874385460943368,0.0020127969236755617,0.5200915220085963,0.515918622088797,0.05288568759203975,0.537269853134559,0.05366359084701676,1.0325216003059123,0.0034307545909633844,-0.99,4,99.99999999999991,0.2,-167.1861164021357,-159.23765689063165,-159.71944973546903,-163.1861164021357,-152.96666845877334,-149.33996255598186,170.1916229724884
Argentina,PORT,0.006062543546259751,0.991844294977106,0.9880382992997555,1815,TRUE,relative convergence (4),0.003802866223295272,0.7573087660117179,0.0027451207474750725,0.08656159190245694,0.44734405570759384,1.2973448693511644e-4,0.01578550549650179,0.7236806502478781,1.0859543265579386,9.358312988637639e-10,-0.99,32,99.99999999999991,0.030303030303030304,-175.54576128306132,-167.59730177155728,-168.07909461639466,-171.54576128306132,-161.32631333969897,-157.69960743690748,3419.6411159038544
Argentina,Newton,0.014447936341762838,0.9805637508260598,0.9714935012115544,2,TRUE,,1.0068823341384834,0.8986247851334201,2.9670526151568634e-6,0.9993903741013247,0.5938553229699095,0.09477598522826378,0.5588296120248673,0.2636482018283822,0.9123076717313358,0.04003958993500211,-0.99,8,99.99999999999991,0.1111111111111111,-155.57205179822222,-147.62359228671818,-148.10538513155555,-151.57205179822222,-141.35260385485986,-137.72589795206838,39.53563404083252
Argentina,L-BFGS-B,0.008581893496172274,0.9884551110670613,0.9830674962316899,29,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9673929111458132,0.8679806582717075,2.54718590374435e-5,0.99317127680978,0.39193631723442585,0.015706782194620673,0.4683737238802886,0.08173235053585641,1.270975722619746,8.994551480385182e-5,-0.89,6,9.090909090909092,0.14285714285714285,-167.55268312687284,-159.6042236153688,-160.08601646020617,-163.55268312687284,-153.33323518351048,-149.706529280719,41.32561206817627
Argentina,L-BFGS-B,0.008581893496172274,0.9884551110670613,0.9830674962316899,29,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9673929111458132,0.8679806582717075,2.54718590374435e-5,0.99317127680978,0.39193631723442585,0.015706782194620673,0.4683737238802886,0.08173235053585641,1.270975722619746,8.994551480385182e-5,-0.89,6,9.090909090909092,0.14285714285714285,-167.55268312687284,-159.6042236153688,-160.08601646020617,-163.55268312687284,-153.33323518351048,-149.706529280719,41.32561206817627
Australia and New Zealand,LM,5.879534052136179e-4,0.9991995468198811,0.9988260020024923,886,TRUE,Relative error in the sum of squares is at most `ftol'.,2.632222845525266e-18,0.857382026412712,0.020015641657248062,3.4755896271455537e-13,7.843125236414985e-7,0.9892317256696761,0.38093673227986347,0.16689931417317552,0.5222318788546768,0.005117795744189317,98,-0.99,0.010101010101010102,99.99999999999991,-229.21021265527918,-221.26175314377514,-221.7435459886125,-225.21021265527918,-214.99076471191682,-211.36405880912534,4249.015704870224
Australia and New Zealand,NM,0.0018820904182811932,0.9974376791643257,0.996241929441011,297,TRUE,,0.032137027937018926,0.9318474044551719,0.001694804420287807,0.7694663192993186,0.052360577549075346,0.11431162626631965,0.5519773445143754,0.3625075918118306,1.3386214600929802,1.8681664275416584e-5,-0.3899999999999999,46,1.6393442622950818,0.02127659574468085,-202.44992745718787,-194.50146794568383,-194.9832607905212,-198.44992745718787,-188.23047951382551,-184.60377361103403,92.9247419834137
Australia and New Zealand,Nelder-Mead,0.0018820904182811932,0.9974376791643257,0.996241929441011,297,TRUE,,0.032137027937018926,0.9318474044551719,0.001694804420287807,0.7694663192993186,0.052360577549075346,0.11431162626631965,0.5519773445143754,0.3625075918118306,1.3386214600929802,1.8681664275416584e-5,-0.3899999999999999,46,1.6393442622950818,0.02127659574468085,-202.44992745718787,-194.50146794568383,-194.9832607905212,-198.44992745718787,-188.23047951382551,-184.60377361103403,87.63542103767395
Australia and New Zealand,PORT,7.214031894018927e-4,0.9990178652390067,0.9985595356838765,844,FALSE,false convergence (8),3.640186462616315e-15,0.8939393329686226,0.016439959587183015,9.318673873826621e-6,0.05940443854981127,0.39899911080221656,0.6088436042085027,0.0022377683092844078,0.6899243938947155,0.004004892509831914,8,-0.99,0.1111111111111111,99.99999999999991,-224.50555143902753,-216.5570919275235,-217.03888477236086,-220.50555143902753,-210.28610349566517,-206.6593975928737,545.8090839385986
Australia and New Zealand,Newton,0.023016524567926955,0.9686647783271395,0.9540416748798046,2,TRUE,,0.9547906659729344,0.9798338576900769,1.093460215995521e-6,0.99995540842474,0.4090800631903488,0.3353696858903654,0.4110089936249702,0.9638293064408162,1.0815131550700625,0.3189993897473362,-0.99,100,99.99999999999991,0.009900990099009901,-144.8618527819367,-136.91339327043266,-137.39518611527004,-140.8618527819367,-130.64240483857435,-127.01569893578286,43.179957151412964
Australia and New Zealand,L-BFGS-B,0.001913132912921984,0.9973954172038817,0.9961799452323599,37,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9288389131252326,0.9274526837200259,3.300520325379034e-5,0.9951512260092107,0.012165589849694493,0.7450394446235957,0.8182135124878422,0.024759569449740244,1.4520179093599608,1.1253901945568212e-5,6,16,0.14285714285714285,0.058823529411764705,-202.07366854580383,-194.1252090342998,-194.60700187913716,-198.07366854580383,-187.85422060244147,-184.22751469965,47.94359803199768
Australia and New Zealand,L-BFGS-B,0.001913132912921984,0.9973954172038817,0.9961799452323599,37,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9288389131252326,0.9274526837200259,3.300520325379034e-5,0.9951512260092107,0.012165589849694493,0.7450394446235957,0.8182135124878422,0.024759569449740244,1.4520179093599608,1.1253901945568212e-5,6,16,0.14285714285714285,0.058823529411764705,-202.07366854580383,-194.1252090342998,-194.60700187913716,-198.07366854580383,-187.85422060244147,-184.22751469965,47.94359803199768
Brazil,LM,0.0024612256735310743,0.9956640497210879,0.9936406062575956,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,0.02506197980039521,0.8347676341851842,0.0018335893557830836,0.4396629661501006,0.29757598208892927,2.064992256658607e-23,0.9998299878841982,0,1.2739953649281572,1.05555623819904e-35,-0.69,18,3.2258064516129026,0.05263157894736842,-196.27957063882937,-188.33111112732533,-188.8129039721627,-192.27957063882937,-182.06012269546702,-178.43341679267553,1306.216031074524
Brazil,NM,0.004516055742156896,0.992044048067037,0.988331270498321,451,TRUE,,0.06240610140903756,0.912775078567342,0.001383996374657921,0.759263965341692,0.301266553624706,2.8963266585787958e-15,0.9482059029133802,6.4535859606656565e-18,1.2451440422869626,2.352101988176481e-10,0.81,0.41000000000000014,0.5524861878453039,0.7092198581560283,-182.31904162514792,-174.37058211364388,-174.85237495848125,-178.31904162514792,-168.09959368178556,-164.47288777899408,176.3847770690918
Brazil,Nelder-Mead,0.004516055742156896,0.992044048067037,0.988331270498321,451,TRUE,,0.06240610140903756,0.912775078567342,0.001383996374657921,0.759263965341692,0.301266553624706,2.8963266585787958e-15,0.9482059029133802,6.4535859606656565e-18,1.2451440422869626,2.352101988176481e-10,0.81,0.41000000000000014,0.5524861878453039,0.7092198581560283,-182.31904162514792,-174.37058211364388,-174.85237495848125,-178.31904162514792,-168.09959368178556,-164.47288777899408,179.00277090072632
Brazil,PORT,0.0021551529648334788,0.9962032591324462,0.9944314467275878,3297,TRUE,relative convergence (4),26.49471438647288,0.8544903552237937,-0.00161275920818008,0.5500182569516097,0.27589620562870765,2.4406904797243148e-23,0.9971802149085829,0,1.41006581783607,1.78517016247437e-40,0.1100000000000001,12,0.9009009009009008,0.07692307692307693,-199.33391922780797,-191.38545971630393,-191.8672525611413,-195.33391922780797,-185.1144712844456,-181.48776538165413,3317.7076320648193
Brazil,Newton,0.07670549975913905,0.8648676402771442,0.8018058724064783,2,TRUE,,0.9878369761231258,0.9794387996335735,5.351707268886656e-5,0.9977754526162601,0.4670918072005339,0.3925116554092308,0.44542436453999784,0.3848581255252038,0.97007097701576,0.2536619005822419,-0.99,-0.99,99.99999999999991,99.99999999999991,-117.17534993880753,-109.22689042730349,-109.70868327214086,-113.17534993880753,-102.95590199544517,-99.32919609265369,43.47547507286072
