method,conv,count,status
CG,FALSE,31,Failed
L-BFGS-B,TRUE,31,Converged
LM,FALSE,10,Failed
LM,TRUE,21,Converged
NM,TRUE,31,Converged
Nelder-Mead,TRUE,31,Converged
Newton,TRUE,30,Converged
PORT,FALSE,17,Failed
PORT,TRUE,14,Converged
