r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime
Japan,LM,0.001168658346475292,0.9735315070521495,0.961179543676486,157,TRUE,Relative error in the sum of squares is at most `ftol'.,3.448245045645984e-13,0.6088660873831057,0.014191497933554027,9.152819472996175e-49,11.078107145915107,0.8749944535900647,0.035189952726183193,0.869694825457792,0.6524891094556692,9.674051095502442e-4,0.010000000000000009,-0.24,0.9900990099009901,1.3157894736842106,-213.4100416793537,-205.46158216784966,-205.94337501268703,-209.4100416793537,-199.19059373599134,-195.56388783319986,117.1924741268158
Levant,L-BFGS-B,0.009863484244515636,0.994786688769013,0.9923538101945524,31,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9473750990527459,0.9328880273183201,5.3239922945841634e-6,0.9992767879709099,0.23886788749323104,0.025567558681979553,0.5133558089689635,0.004903679191334972,1.4550876158290165,2.9397142996031996e-8,0.51,22,0.6622516556291391,0.043478260869565216,-164.35143039245062,-156.40297088094658,-156.88476372578396,-160.35143039245062,-150.13198244908827,-146.50527654629678,4.723874092102051
Mexico,LM,0.004564325708661151,0.9826655371684797,0.9745761211804369,761,TRUE,Relative error in the sum of squares is at most `ftol'.,1.801691275954717e-21,0.951914794587059,0.023627353155810788,0.003971406668933634,-3.1975730157953564,0.5074775967614498,0.6268636634565206,0.17215853448659568,-0.44371826207936677,0.2355743203008902,2,-0.24,0.3333333333333333,1.3157894736842106,-182.0745101165709,-174.12605060506687,-174.60784344990424,-178.0745101165709,-167.85506217320855,-164.22835627041707,129.95126700401306
Middle Africa,LM,0.03570496863430242,0.9827608047553482,0.9747158469745107,598,TRUE,Relative error between `par' and the solution is at most `ptol'.,2.43811418060287e-19,0.9857565181641869,0.02123779324511403,0.4431321268758927,2.8443312773797587,0.9023103373496838,0.9074485860432598,0.6702050420094576,0.1440726012875819,0.8875089008490032,-0.24,-0.74,1.3157894736842106,3.846153846153846,-134.76307168270628,-126.81461217120224,-127.29640501603961,-130.76307168270628,-120.54362373934393,-116.91691783655244,210.30266785621643
Non-EU Europe,LM,0.003950890949912977,0.9904360031668634,0.985972804644733,279,TRUE,Relative error in the sum of squares is at most `ftol'.,7.214670666220626e-14,0.7739905155851616,0.014964350973427295,3.660637083304071e-18,0.39468056723156153,0.46091691633535237,0.1029714321132622,0.7207313006510601,0.7154603053588068,2.942603599493743e-17,2,12,0.3333333333333333,0.07692307692307693,-185.39409284332532,-177.44563333182128,-177.92742617665866,-181.39409284332532,-171.17464489996297,-167.54793899717149,148.55928587913513
Northern Africa,LM,0.005066247954882693,0.9954760285101127,0.993364841814832,841,TRUE,Relative error in the sum of squares is at most `ftol'.,9.545163098978905e-21,0.8143448545006152,0.022793931788545913,3.0462573735192413e-27,1.2067671750066785e-14,0.9995045795341194,0.8632285001220362,0.044334700803616345,0.34418959700387003,7.585237070399855e-6,92,-0.99,0.010752688172043012,99.99999999999991,-179.67492699139243,-171.72646747988838,-172.20826032472576,-175.67492699139243,-165.45547904803007,-161.82877314523859,199.53406310081482
Peninsular West Asia,L-BFGS-B,0.013671091622539513,0.9902180719272716,0.9856531721599984,58,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9747922779611599,0.9618077361589847,-5.4924366194711105e-6,0.9995760792255451,1.0580299499055618e-6,0.9999944766672747,0.9358859555692752,2.4989059148712517e-6,1.0960519201917467,8.773280318442933e-4,0.26,22,0.7936507936507936,0.043478260869565216,-156.84321781647486,-148.89475830497082,-149.3765511498082,-152.84321781647486,-142.6237698731125,-138.99706397032102,6.1902570724487305
Republic of Korea,LM,0.0015246942561102106,0.9987738184318425,0.9982016003667024,836,TRUE,Relative error in the sum of squares is at most `ftol'.,7.672689128001413e-21,0.6823780778952222,0.02290416854649427,8.555471069191538e-80,3.134658874968091,0.5027209855902881,1.8474160893738736e-14,0.9905891430038728,0.47242383573884666,3.1345249510953286e-5,2,72,0.3333333333333333,0.0136986301369863,-207.2934786332238,-199.34501912171976,-199.82681196655713,-203.2934786332238,-193.07403068986144,-189.44732478706996,268.985652923584
Russia,LM,0.0023329352798132676,0.9973792668168846,0.9961562579980974,450,TRUE,Relative error in the sum of squares is at most `ftol'.,6.511376629143443e-9,0.48522495973832985,0.009329296430570984,1.4508770390808286e-39,-36.88536308468092,0.9495420674480178,0.13029349887758862,0.8239112358879134,-0.010128877472167216,0.9496368332483326,0.010000000000000009,-0.99,0.9900990099009901,99.99999999999991,-197.5108115991821,-189.56235208767805,-190.04414493251542,-193.5108115991821,-183.29136365581974,-179.66465775302825,108.3074541091919
South Africa,LM,0.001652251534077172,0.9970685927756329,0.9957006027375949,424,TRUE,Relative error in the sum of squares is at most `ftol'.,2.1945966944337645e-10,0.7680599908942831,0.011000170359224029,5.380241894347171e-11,0.7112503249860808,3.4404428312022585e-6,1.2640995804071367,6.690101898809861e-12,0.37047033243977207,1.6534629919478813e-5,0.010000000000000009,-0.99,0.9900990099009901,99.99999999999991,-205.44554313451016,-197.49708362300612,-197.9788764678435,-201.44554313451016,-191.2260951911478,-187.59938928835632,131.17861700057983
South America Cluster,LM,0.0022554128485791146,0.9986136732354132,0.9979667207452726,792,TRUE,Relative error in the sum of squares is at most `ftol'.,1.7736259303984798e-21,0.8152533507825395,0.02363033193564989,5.622232212278549e-29,0.46120487460983584,1.4392989608328533e-5,0.02535268684838162,0.958733611672177,0.5308594059007057,7.850187428734144e-8,-0.99,92,99.99999999999991,0.010752688172043012,-198.28807851799647,-190.33961900649243,-190.8214118513298,-194.28807851799647,-184.0686305746341,-180.44192467184263,278.6242928504944
South-eastern Asia,L-BFGS-B,0.009376527368618146,0.9961003492936195,0.9942805122973085,38,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9550320909454133,0.9356993539070361,1.7030257556242455e-5,0.9977839082552278,0.5905965764391351,0.14604372231672177,0.8006499749200271,2.7287904189722387e-12,1.3664013087891471,0.015976524366017257,-0.24,0.010000000000000009,1.3157894736842106,0.9900990099009901,-165.51592039112546,-157.56746087962142,-158.0492537244588,-161.51592039112546,-151.2964724477631,-147.66976654497162,5.3061769008636475
Southern Africa Cluster,LM,0.018706695879629153,0.9824628417585156,0.9742788345791562,231,TRUE,Relative error in the sum of squares is at most `ftol'.,2.505059831390763e-13,0.9321084433239398,0.014339159080745546,0.01351361296266842,2.354194309396763,0.8489482204029181,0.10323374873383089,0.8486216158630808,0.783055689242086,0.03437628766287801,0.76,-0.99,0.5681818181818182,99.99999999999991,-149.63046323438937,-141.68200372288533,-142.1637965677227,-145.63046323438937,-135.411015291027,-131.78430938823553,267.53418612480164
Southern Asia Cluster,L-BFGS-B,0.006512616430447702,0.9973422598396001,0.9961019810980801,50,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.89711885065822,0.9655061969940752,5.668498582211102e-5,0.9960453681503332,0.06833339300154709,0.06620694950283704,0.5570213843913487,0.18658412318321702,1.8725629643390016,5.071633747609793e-5,0.76,92,0.5681818181818182,0.010752688172043012,-173.89868882990345,-165.9502293183994,-166.43202216323678,-169.89868882990345,-159.6792408865411,-156.0525349837496,4.048035144805908
Switzerland,LM,0.002484975499918324,0.9929670508446065,0.9896850079054228,261,TRUE,Relative error in the sum of squares is at most `ftol'.,1.4776688531436493e-10,0.7841029585845755,0.011194552770427559,5.589867524099388e-10,20220.717879091328,0.9176838637742345,0.5728462041734808,0.24909038092959584,0.5268953291437204,4.5950981623802946e-4,72,2,0.0136986301369863,0.3333333333333333,-196.05869397577916,-188.11023446427512,-188.5920273091125,-192.05869397577916,-181.8392460324168,-178.21254012962532,109.15251111984253
Tropical Pacific Islands,PORT,0.007295570007771932,0.9946171428118848,0.9921051427907644,2563,TRUE,relative convergence (4),1.0280763316494462e-4,0.8770060896065127,0.0045384143484897225,0.15599449875450025,0.17247277851193402,0.0018323339787044328,8.596237713424647e-6,0.9567226630553777,1.6718977307335163,3.7944263757662683e-29,-0.99,82,99.99999999999991,0.012048192771084338,-171.28759012192862,-163.33913061042458,-163.82092345526195,-167.28759012192862,-157.06814217856626,-153.44143627577478,73.93480086326599
United Kingdom,PORT,0.00514990160430118,0.9744488746200091,0.9625250161093466,5808,TRUE,relative convergence (4),0.048292965844859655,0.938851161059768,0.001477185967341975,0.818729341145666,0.33898121616430094,0.30021395559465264,0.5285268030865639,0.21211036218743817,1.3337605814605353,0.059251410014671,-0.74,12,3.846153846153846,0.07692307692307693,-179.2982533867193,-171.34979387521525,-171.83158672005263,-175.2982533867193,-165.07880544335694,-161.45209954056546,245.56032395362854
United States,LM,7.667591726624615e-4,0.9980050587357013,0.9970740861456953,107,TRUE,Relative error in the sum of squares is at most `ftol'.,8.023357729254855e-9,0.7383526272882188,0.009215807681682392,4.841418489107405e-10,0.3131792848908492,0.01399153883894315,0.8189317845425009,5.393766619457383e-13,0.985689077314859,4.676532365200683e-6,-0.99,0.010000000000000009,99.99999999999991,0.9900990099009901,-223.103136182358,-215.15467667085397,-215.63646951569135,-219.103136182358,-208.88368823899566,-205.25698233620417,111.61951208114624
Western Africa,LM,0.01126209440279231,0.9954030500374299,0.9932578067215638,890,TRUE,Relative error in the sum of squares is at most `ftol'.,2.4252305166853655e-22,0.8670235975630467,0.02463493534465927,7.821720202114224e-17,4.37717809451238,0.9770791607117363,6.365966764341237e-6,0.9950162961902068,0.5793303518648646,4.663958369317575e-10,0.010000000000000009,2,0.9900990099009901,0.3333333333333333,-161.3015583710062,-153.35309885950215,-153.83489170433953,-157.3015583710062,-147.08211042764384,-143.45540452485236,321.7834270000458
