r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,aic,bic,runtime
Argentina,LM,0.0077869681729887,0.9895244933159157,0.9846359235300097,251,TRUE,Relative error in the sum of squares is at most `ftol'.,3.614907355079663e-6,NA,0.006228796415098676,NA,1.8015250857340601,NA,0.27241060172339016,NA,0.644752187560585,NA,1,0,0.5,1,NA,NA,4.165740966796875
Argentina,NM,0.00862491377685733,0.9883972375497153,0.9829826150729158,139,TRUE,,0.0176481086767798,NA,0.0020066651070734668,NA,0.5379769855424893,NA,0.5149409789052175,NA,1.0305123527077518,NA,-1,1,NA,0.5,NA,NA,0.2279059886932373
Argentina,Nelder-Mead,0.00862491377685733,0.9883972375497153,0.9829826150729158,139,TRUE,,0.0176481086767798,NA,0.0020066651070734668,NA,0.5379769855424893,NA,0.5149409789052175,NA,1.0305123527077518,NA,-1,1,NA,0.5,NA,NA,0.2210099697113037
Argentina,BFGS,0.058237490176349285,0.9216553600767493,0.8850945281125656,605,TRUE,,8.054610942438387e-14,NA,0.014985678184139511,NA,0.0847149237257528,NA,-0.37926546817860124,NA,0.779477159858497,NA,1,1,0.5,0.5,NA,NA,1.503648042678833
Argentina,BFGS,0.058237490176349285,0.9216553600767493,0.8850945281125656,26,TRUE,,8.054610942438387e-14,NA,0.014985678184139511,NA,0.0847149237257528,NA,-0.37926546817860124,NA,0.779477159858497,NA,1,1,0.5,0.5,NA,NA,1.503648042678833
Argentina,PORT,0.008250520797356492,0.9889008939243287,0.9837213110890154,2706,TRUE,relative convergence (4),0.0011861929300471673,NA,0.0033496220215287528,NA,0.6548553408421526,NA,0.46800227550134293,NA,0.9472925022559571,NA,-1,0,NA,1,NA,NA,239.00444388389587
Argentina,Newton,0.026388648001926588,0.9645003739084219,0.9479338817323522,2,TRUE,,0.9504845133247335,NA,2.8547318696604327e-5,NA,0.4014631266668944,NA,0.5178675752027677,NA,1.0096757417812308,NA,1,1,0.5,0.5,NA,NA,0.21044015884399414
Argentina,CG,0.13170682448576218,0.8228199101896868,0.7401358682782073,182,TRUE,,7.896974669593444e-14,NA,0.014999999999814755,NA,0.5,NA,0.5,NA,1,NA,-1,-1,NA,NA,NA,NA,0.6738080978393555
Argentina,CG,0.13170682448576218,0.8228199101896868,0.7401358682782073,16,TRUE,,7.896974669593444e-14,NA,0.014999999999814755,NA,0.5,NA,0.5,NA,1,NA,-1,-1,NA,NA,NA,NA,0.6738080978393555
Argentina,L-BFGS-B,0.01036304117148139,0.9860590020855804,0.9795532030588513,19,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9203770758848849,NA,4.143501257790665e-5,NA,0.5401256226425178,NA,0.5399839349203349,NA,1.1041786825722144,NA,-1,1,NA,0.5,NA,NA,0.2031400203704834
Argentina,L-BFGS-B,0.01036304117148139,0.9860590020855804,0.9795532030588513,19,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9203770758848849,NA,4.143501257790665e-5,NA,0.5401256226425178,NA,0.5399839349203349,NA,1.1041786825722144,NA,-1,1,NA,0.5,NA,NA,0.2031400203704834
