rho1,rho,rss,convergence,r,method
1,0,0.03179813750409385,TRUE,Australia and New Zealand,BFGS
-1,1,0.03011696719169383,TRUE,Australia and New Zealand,BFGS
0,1,0.0019203194931532485,TRUE,Australia and New Zealand,BFGS
1,1,0.03641283382860322,TRUE,Australia and New Zealand,BFGS
-1,-1,0.0012476968104652639,FALSE,Australia and New Zealand,PORT
0,-1,0.0011225507664776825,FALSE,Australia and New Zealand,PORT
1,-1,0.0010154776209816752,FALSE,Australia and New Zealand,PORT
-1,0,0.0012010050440856791,TRUE,Australia and New Zealand,PORT
0,0,0.0010824142141938173,FALSE,Australia and New Zealand,PORT
1,0,9.816702294353013e-4,FALSE,Australia and New Zealand,PORT
-1,1,0.001163306592380534,FALSE,Australia and New Zealand,PORT
0,1,0.0010512284658416948,FALSE,Australia and New Zealand,PORT
1,1,9.550956160174352e-4,FALSE,Australia and New Zealand,PORT
-1,-1,0.16747116883569532,TRUE,Australia and New Zealand,Newton
0,-1,0.16430975799028777,TRUE,Australia and New Zealand,Newton
1,-1,0.16128016707473203,TRUE,Australia and New Zealand,Newton
-1,0,0.16424302523491086,TRUE,Australia and New Zealand,Newton
0,0,0.16074630355129496,TRUE,Australia and New Zealand,Newton
1,0,0.15739635691016496,TRUE,Australia and New Zealand,Newton
-1,1,0.16120435471584502,TRUE,Australia and New Zealand,Newton
0,1,0.1574202124727783,TRUE,Australia and New Zealand,Newton
1,1,0.15380585121275633,TRUE,Australia and New Zealand,Newton
-1,-1,0.02447430764731676,TRUE,Australia and New Zealand,CG
0,-1,0.02600703731713123,TRUE,Australia and New Zealand,CG
1,-1,0.027572765866668028,TRUE,Australia and New Zealand,CG
-1,0,0.02730172644582691,TRUE,Australia and New Zealand,CG
0,0,0.029232026937985288,TRUE,Australia and New Zealand,CG
1,0,0.03139139290056204,TRUE,Australia and New Zealand,CG
-1,1,0.030323269956591722,TRUE,Australia and New Zealand,CG
0,1,0.03287351483301528,TRUE,Australia and New Zealand,CG
1,1,0.03745408100523215,TRUE,Australia and New Zealand,CG
-1,-1,0.04323393125124369,TRUE,Australia and New Zealand,L-BFGS-B
0,-1,0.043178953208781304,TRUE,Australia and New Zealand,L-BFGS-B
1,-1,0.043222155548886095,TRUE,Australia and New Zealand,L-BFGS-B
-1,0,0.04556910934749431,TRUE,Australia and New Zealand,L-BFGS-B
0,0,0.04597192659809955,TRUE,Australia and New Zealand,L-BFGS-B
1,0,0.04648472047682654,TRUE,Australia and New Zealand,L-BFGS-B
-1,1,0.04842586146551257,TRUE,Australia and New Zealand,L-BFGS-B
0,1,0.04927681000438973,TRUE,Australia and New Zealand,L-BFGS-B
1,1,0.0502524667135252,TRUE,Australia and New Zealand,L-BFGS-B
-1,-1,0.003535030099454688,FALSE,Brazil,LM
0,-1,0.0037980963554747503,FALSE,Brazil,LM
1,-1,0.004358961989866633,FALSE,Brazil,LM
-1,0,0.0034240082009220556,FALSE,Brazil,LM
0,0,0.0036980973970489285,FALSE,Brazil,LM
1,0,0.0042509468697193116,FALSE,Brazil,LM
-1,1,0.0032611237690368584,FALSE,Brazil,LM
0,1,0.003511148114117095,FALSE,Brazil,LM
1,1,0.004052346249413509,FALSE,Brazil,LM
-1,-1,0.03423073656306831,TRUE,Brazil,NM
0,-1,0.02850360867626493,TRUE,Brazil,NM
1,-1,0.028008288194329493,TRUE,Brazil,NM
-1,0,0.025317418320346178,TRUE,Brazil,NM
0,0,0.023832963454691745,TRUE,Brazil,NM
1,0,0.02546268149966679,TRUE,Brazil,NM
-1,1,0.02225678423044525,TRUE,Brazil,NM
0,1,0.023509353934051517,TRUE,Brazil,NM
1,1,0.019524034587053582,TRUE,Brazil,NM
-1,-1,0.03423073656306831,TRUE,Brazil,Nelder-Mead
0,-1,0.02850360867626493,TRUE,Brazil,Nelder-Mead
1,-1,0.028008288194329493,TRUE,Brazil,Nelder-Mead
-1,0,0.025317418320346178,TRUE,Brazil,Nelder-Mead
0,0,0.023832963454691745,TRUE,Brazil,Nelder-Mead
1,0,0.02546268149966679,TRUE,Brazil,Nelder-Mead
-1,1,0.02225678423044525,TRUE,Brazil,Nelder-Mead
0,1,0.023509353934051517,TRUE,Brazil,Nelder-Mead
1,1,0.019524034587053582,TRUE,Brazil,Nelder-Mead
-1,-1,0.09850180409686336,TRUE,Brazil,BFGS
0,-1,0.07248060707837248,TRUE,Brazil,BFGS
1,-1,0.5152278294818265,TRUE,Brazil,BFGS
-1,0,0.0074907705168188,TRUE,Brazil,BFGS
0,0,0.49594734324378353,TRUE,Brazil,BFGS
1,0,0.502611148214506,TRUE,Brazil,BFGS
-1,1,0.4771610695036004,TRUE,Brazil,BFGS
0,1,0.48079334909575805,TRUE,Brazil,BFGS
1,1,0.4847592390532865,TRUE,Brazil,BFGS
-1,-1,0.003526054093019056,TRUE,Brazil,PORT
0,-1,0.011723942703617441,FALSE,Brazil,PORT
1,-1,0.01282860159638737,FALSE,Brazil,PORT
-1,0,0.014018809609270967,FALSE,Brazil,PORT
0,0,0.003676858670476145,FALSE,Brazil,PORT
1,0,0.004139792699972238,TRUE,Brazil,PORT
-1,1,0.0031720608473747047,TRUE,Brazil,PORT
0,1,0.011403770395305554,FALSE,Brazil,PORT
1,1,0.011369398784368316,FALSE,Brazil,PORT
-1,-1,0.1791943450523569,TRUE,Brazil,Newton
0,-1,0.1822970034399861,TRUE,Brazil,Newton
1,-1,0.18547793518549086,TRUE,Brazil,Newton
-1,0,0.1707065180852477,TRUE,Brazil,Newton
0,0,0.1733697837274096,TRUE,Brazil,Newton
1,0,0.176108913808873,TRUE,Brazil,Newton
-1,1,0.16198190776759966,TRUE,Brazil,Newton
0,1,0.16422553985824,TRUE,Brazil,Newton
1,1,0.1665428896078189,TRUE,Brazil,Newton
-1,-1,0.5043116152159891,TRUE,Brazil,CG
0,-1,0.5107470345412661,TRUE,Brazil,CG
1,-1,0.5156469665860646,TRUE,Brazil,CG
-1,0,0.4899380022732267,TRUE,Brazil,CG
0,0,0.49514133938683824,TRUE,Brazil,CG
1,0,0.5003024525419965,TRUE,Brazil,CG
-1,1,0.47598185000489096,TRUE,Brazil,CG
0,1,0.4802921671099637,TRUE,Brazil,CG
1,1,0.4846895496010045,TRUE,Brazil,CG
-1,-1,0.04677292759475354,TRUE,Brazil,L-BFGS-B
0,-1,0.048407572986273094,TRUE,Brazil,L-BFGS-B
1,-1,0.04998573907637509,TRUE,Brazil,L-BFGS-B
-1,0,0.04570309232373966,TRUE,Brazil,L-BFGS-B
0,0,0.047015221506404296,TRUE,Brazil,L-BFGS-B
1,0,0.04831749522068624,TRUE,Brazil,L-BFGS-B
-1,1,0.044447196081690094,TRUE,Brazil,L-BFGS-B
0,1,0.0455125017528218,TRUE,Brazil,L-BFGS-B
1,1,0.046592094370792515,TRUE,Brazil,L-BFGS-B
-1,-1,0.002196503941505171,TRUE,Canada,LM
0,-1,0.0021775332946380173,TRUE,Canada,LM
1,-1,0.0021563796101268084,TRUE,Canada,LM
-1,0,0.00202930045853357,TRUE,Canada,LM
0,0,0.0021081789705719406,TRUE,Canada,LM
1,0,0.0020999655112251387,TRUE,Canada,LM
-1,1,0.0020015465899396482,TRUE,Canada,LM
0,1,0.0019879190348601077,TRUE,Canada,LM
1,1,0.0020426602959178245,TRUE,Canada,LM
-1,-1,0.035131404141682955,TRUE,Canada,NM
0,-1,0.0335192764271741,TRUE,Canada,NM
1,-1,0.03288931259264106,TRUE,Canada,NM
-1,0,0.03424555190198288,TRUE,Canada,NM
0,0,0.03359774760049989,TRUE,Canada,NM
1,0,0.032014853618758034,TRUE,Canada,NM
-1,1,0.03414924004266198,TRUE,Canada,NM
0,1,0.033486027597431675,TRUE,Canada,NM
1,1,0.032192926380831925,TRUE,Canada,NM
-1,-1,0.035131404141682955,TRUE,Canada,Nelder-Mead
0,-1,0.0335192764271741,TRUE,Canada,Nelder-Mead
1,-1,0.03288931259264106,TRUE,Canada,Nelder-Mead
-1,0,0.03424555190198288,TRUE,Canada,Nelder-Mead
0,0,0.03359774760049989,TRUE,Canada,Nelder-Mead
1,0,0.032014853618758034,TRUE,Canada,Nelder-Mead
-1,1,0.03414924004266198,TRUE,Canada,Nelder-Mead
0,1,0.033486027597431675,TRUE,Canada,Nelder-Mead
1,1,0.032192926380831925,TRUE,Canada,Nelder-Mead
-1,-1,0.05276155916773476,TRUE,Canada,BFGS
0,-1,0.05372666581859577,TRUE,Canada,BFGS
1,-1,0.003784825589610173,TRUE,Canada,BFGS
-1,0,0.0034681447238210394,TRUE,Canada,BFGS
0,0,0.005131755353625738,TRUE,Canada,BFGS
1,0,0.0048542129991336605,TRUE,Canada,BFGS
-1,1,0.05295073557606262,TRUE,Canada,BFGS
0,1,0.0580671571494597,TRUE,Canada,BFGS
1,1,0.059659482650618045,TRUE,Canada,BFGS
-1,-1,0.0022090903319860913,FALSE,Canada,PORT
0,-1,0.002238464255509486,FALSE,Canada,PORT
1,-1,0.002282831455101669,FALSE,Canada,PORT
-1,0,0.0021081910506106395,TRUE,Canada,PORT
0,0,0.002108191050614249,TRUE,Canada,PORT
1,0,0.0021023627046078954,FALSE,Canada,PORT
-1,1,0.002045518433756136,TRUE,Canada,PORT
0,1,0.0020455184337560884,TRUE,Canada,PORT
1,1,0.0021290846823352476,FALSE,Canada,PORT
-1,-1,0.08155133930236896,TRUE,Canada,Newton
0,-1,0.0806141184074886,TRUE,Canada,Newton
1,-1,0.07970133106818454,TRUE,Canada,Newton
-1,0,0.07960589213604403,TRUE,Canada,Newton
0,0,0.07859088396319762,TRUE,Canada,Newton
1,0,0.07760217890376941,TRUE,Canada,Newton
-1,1,0.07769788976309372,TRUE,Canada,Newton
0,1,0.07661255761911681,TRUE,Canada,Newton
1,1,0.07555604294137569,TRUE,Canada,Newton
-1,-1,0.05271050127024058,TRUE,Canada,CG
0,-1,0.053713605472786495,TRUE,Canada,CG
1,-1,0.05496613100039633,TRUE,Canada,CG
-1,0,0.054649208781371916,TRUE,Canada,CG
0,0,0.056068867437257953,TRUE,Canada,CG
1,0,0.05700330078521288,TRUE,Canada,CG
-1,1,0.056694945841835376,TRUE,Canada,CG
0,1,0.058011104748955926,TRUE,Canada,CG
1,1,0.05939737500472073,TRUE,Canada,CG
-1,-1,0.02863382037645456,TRUE,Canada,L-BFGS-B
0,-1,0.028308195832002947,TRUE,Canada,L-BFGS-B
1,-1,0.027938269119689656,TRUE,Canada,L-BFGS-B
-1,0,0.03077423476433389,TRUE,Canada,L-BFGS-B
0,0,0.030511821161991855,TRUE,Canada,L-BFGS-B
1,0,0.03020793748559243,TRUE,Canada,L-BFGS-B
-1,1,0.031428800698004876,TRUE,Canada,L-BFGS-B
0,1,0.031229217304766934,TRUE,Canada,L-BFGS-B
