t,r,P,Y,C,K,L,E
2002,United Kingdom,59.5,2.6594,1.98258,0.404,29.641396,5975
2002,United States,287.1,15.9448,10.1901,2.42,149.241895,58806
2002,Western Africa,256.5,0.84471,0.06633,0.011,108.525119,2411
2003,Argentina,38.4,0.76868,0.27312,0.038,17.006209,1795
2003,Australia and New Zealand,23.8,1.09372,0.78767,0.243,12.097223,3312
2003,Brazil,180.6,2.57557,0.99038,0.2,86.794128,4985
2003,Canada,31.8,1.58655,0.90956,0.264,17.341662,7344
2003,Caribbean Extended,39.4,0.23657,0.10495,0.015,13.883077,939
2003,Central America,38.4,0.33076,0.12247,0.027,14.70789,815
2003,Central Asia Extended,76.2,0.55138,0.08726,0.019,33.297254,4100
2003,Chile,16,0.30291,0.09565,0.026,6.58905,766
2003,China,1324.5,6.99932,2.25898,0.05,739.350005,34988
2003,Eastern Africa,282.4,0.46893,0.09426,0.015,116.493157,3796
2003,EU27,431.5,18.0517,9.03238,2.475,201.420156,42047
2003,India,1116.8,3.84842,0.6992,0.218,436.753652,11917
2003,Japan,127.7,5.04509,3.04246,1.12,66.784334,12548
2003,Levant,105.9,1.50003,0.55957,0.134,34.802309,3614
2003,Mexico,103,2.02883,0.78658,0.186,40.580596,3884
2003,Middle Africa,108.9,0.32844,0.06818,0.02,43.70326,1370
2003,Non-EU Europe,77.5,1.37521,0.32247,0.098,39.527615,5219
2003,Northern Africa,185.5,1.73159,0.34036,0.077,55.402045,3416
2003,Peninsular West Asia,146,2.7533,0.64083,0.183,44.424805,9993
2003,Republic of Korea,47.5,1.37528,0.64167,0.313,23.376928,4669
2003,Russia,145.8,3.47995,0.56799,0.153,72.899185,16484
2003,South Africa,48.5,0.57898,0.18976,0.034,19.883394,2150
2003,South America Cluster,126.9,0.99361,0.31657,0.059,56.91778,3403
2003,South-eastern Asia,573.8,4.12387,0.91693,0.31,272.321705,12402
2003,Southern Africa Cluster,6.7,0.05169,0.01173,0.003,2.494633,166
2003,Southern Asia Cluster,377.4,1.27723,0.2608,0.052,121.120226,3599
2003,Switzerland,7.3,0.49117,0.36504,0.139,4.15263,825
2003,Tropical Pacific Islands,9.1,0.03166,0.00154,2.00E-04,3.49057,187
2003,United Kingdom,59.8,2.74324,2.05408,0.414,29.861693,6028
